ID,Mining_type,Latitude,Longitude,Elevation_m,Plus_Code,Field_Date,Colliery_Sector,GPS_Device,GPS_Horizontal_Accuracy_m,Geometry_Type,Plot_Dimension_m,Plot_Area_m2,Heading_Inversion_Reconciliation,UTM_X_m,UTM_Y_m,Plot_Xmin_m,Plot_Xmax_m,Plot_Ymin_m,Plot_Ymax_m,Effective_Support_Xmin_m,Effective_Support_Xmax_m,Effective_Support_Ymin_m,Effective_Support_Ymax_m
UG-Q1,Underground,22.422136,82.586519,315.28,7MJ4CHCP+VJ,2026-02-02,Banki / Balgi Colliery,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Published table column headers inverted (Lat/Long labels reversed); numerical coordinates verified geographically in Korba.,663287.63,2480415.15,663282.63,663292.63,2480410.15,2480420.15,663277.63,663297.63,2480405.15,2480425.15
UG-Q2,Underground,22.404199,82.633904,295.1,7MJ4CJ3M+MH,2026-02-03,Surakachhar / Dhelwadih,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,668187.12,2478481.4,668182.12,668192.12,2478476.4,2478486.4,668177.12,668197.12,2478471.4,2478491.4
UG-Q3,Underground,22.413226,82.630137,283.86,7MJ4CJ7J+73,2026-02-03,Surakachhar / Dhelwadih,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,667788.44,2479476.69,667783.44,667793.44,2479471.69,2479481.69,667778.44,667798.44,2479466.69,2479486.69
UG-Q4,Underground,22.395806,82.604232,305.95,7MJ49JW3+8M,2026-02-03,Banki / Balgi Colliery,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,665142.15,2477519.2,665137.15,665147.15,2477514.2,2477524.2,665132.15,665152.15,2477509.2,2477529.2
UG-Q5,Underground,22.430608,82.581408,313.58,7MJ4CHJJ+6H,2026-02-05,Banki / Balgi Colliery,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,662751.63,2481347.64,662746.63,662756.63,2481342.64,2481352.64,662741.63,662761.63,2481337.64,2481357.64
OC-Q1,Opencast,22.356579,82.57891,298.5,7MJ49HC8+M5,2026-02-06,Gevra / Dipka Opencast Project,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,662580.57,2473148.34,662575.57,662585.57,2473143.34,2473153.34,662570.57,662590.57,2473138.34,2473158.34
OC-Q2,Opencast,22.358327,82.580214,302.1,7MJ49HF8+83,2026-02-06,Gevra / Dipka Opencast Project,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,662712.83,2473343.29,662707.83,662717.83,2473338.29,2473348.29,662702.83,662722.83,2473333.29,2473353.29
OC-Q3,Opencast,22.359611,82.582041,304.4,7MJ49HFJ+RR,2026-02-06,Gevra / Dipka Opencast Project,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,662899.5,2473487.43,662894.5,662904.5,2473482.43,2473492.43,662889.5,662909.5,2473477.43,2473497.43
OC-Q4,Opencast,22.361084,82.584993,307.8,7MJ49HMJ+CX,2026-02-07,Gevra / Dipka Opencast Project,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,663201.8,2473653.72,663196.8,663206.8,2473648.72,2473658.72,663191.8,663211.8,2473643.72,2473663.72
OC-Q5,Opencast,22.36279,82.587521,310.2,7MJ49HQF+42,2026-02-07,Gevra / Dipka Opencast Project,Handheld GPS (WGS 84),5.0,Plot Center,10 x 10,100.0,Verified numerical coordinates.,663460.16,2473845.35,663455.16,663465.16,2473840.35,2473850.35,663450.16,663470.16,2473835.35,2473855.35
