Quadrat_ID,Mining_type,Tree_Stem_No,Reported_Scientific_Name,Accepted_Scientific_Name_POWO,Family,Growth_Form,GBH_m,Height_m,Primary_Source_Sheet,Observation_Tier,Confidence
UG-Q1,Underground,1,Vachellia nilotica,Vachellia nilotica (L.) P.J.H.Hurter & Mabb.,Fabaceae,Tree (Deciduous thorny),1.8,12.8,"Dissertation Appendix A, Table 10",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q1,Underground,2,Terminalia elliptica,Terminalia elliptica Willd.,Combretaceae,Tree (Large deciduous),3.0,13.1,"Dissertation Appendix A, Table 10",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q1,Underground,3,Ziziphus mauritiana,Ziziphus mauritiana Lam.,Rhamnaceae,Small tree / Thorny shrub (Deciduous),1.6,12.9,"Dissertation Appendix A, Table 10",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q1,Underground,4,Tamarindus indica,Tamarindus indica L.,Fabaceae,Tree (Large evergreen),1.9,10.7,"Dissertation Appendix A, Table 10",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q1,Underground,5,Ficus religiosa,Ficus religiosa L.,Moraceae,Tree (Large semi-evergreen),2.4,5.3,"Dissertation Appendix A, Table 10",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q1,Underground,6,Ziziphus mauritiana,Ziziphus mauritiana Lam.,Rhamnaceae,Small tree / Thorny shrub (Deciduous),2.6,13.2,"Dissertation Appendix A, Table 10",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q2,Underground,1,Wrightia tinctoria,Wrightia tinctoria R.Br.,Apocynaceae,Small tree (Deciduous),1.4,7.4,"Dissertation Appendix A, Table 11",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q2,Underground,2,Wrightia tinctoria,Wrightia tinctoria R.Br.,Apocynaceae,Small tree (Deciduous),2.35,8.32,"Dissertation Appendix A, Table 11",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q2,Underground,3,Azadirachta indica,Azadirachta indica A.Juss.,Meliaceae,Tree (Deciduous),2.8,11.07,"Dissertation Appendix A, Table 11",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q2,Underground,4,Diospyros melanoxylon,Diospyros melanoxylon Roxb.,Ebenaceae,Tree (Deciduous),1.6,10.3,"Dissertation Appendix A, Table 11",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q3,Underground,1,Shorea robusta,Shorea robusta Gaertn.,Dipterocarpaceae,Tree (Climax dominant semi-deciduous),3.8,16.0,"Dissertation Appendix A, Table 12",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q3,Underground,2,Ziziphus mauritiana,Ziziphus mauritiana Lam.,Rhamnaceae,Small tree / Thorny shrub (Deciduous),0.7,2.8,"Dissertation Appendix A, Table 12",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
