Candidate_ID,Accepted_Taxon,Family,Growth_Form,Field_Status,Regional_Occurrence_Context,Quadrat_Plot_Evidence,Remote_Category,Botanical_Audit_Needed
LEAD-S01,Lantana camara L.,Verbenaceae,Shrub (Perennial invasive scrambling),Off-Plot / Regional Associate (Unverified at Quadrat Level),"Abundant invasive thickets on mine overburden dumps, road verges, and open scrub in Korba.",NO species-specific stem tally in 10x10m tree quadrat sheets. Observed in surrounding overburden landscape.,Category A (when forming dense contiguous monocultures on overburden; distinct seasonal stability),Requires formal nested 5x5m shrub quadrat stem count.
LEAD-S02,Woodfordia fruticosa (L.) Kurz,Lythraceae,Shrub (Deciduous erect),Off-Plot / Regional Associate (Unverified at Quadrat Level),Rocky slopes and open dry deciduous scrub throughout Bilaspur-Korba division.,NO in-plot quadrat count. Documented in regional floristic collections.,Category B (community scrub group),Requires formal nested 5x5m shrub quadrat survey.
LEAD-S03,Calotropis procera (Aiton) W.T.Aiton,Apocynaceae,Shrub (Xerophytic broadleaf),Off-Plot / Regional Associate (Unverified at Quadrat Level),"Unreclaimed mine spoil, coal transport margins, barren ground.",Observed on peripheral spoil banks; not tallies inside tree quadrats.,Category B (xeromorphic scrub signature),Requires formal ground verification.
LEAD-S04,Nerium oleander L.,Apocynaceae,Shrub (Evergreen),Off-Plot / Regional Associate (Unverified at Quadrat Level),Planted along industrial complex margins and transport avenues.,Avenue plantation outside forest quadrats.,Category B (evergreen linear corridor),Requires formal ground verification.
LEAD-S05,Nyctanthes arbor-tristis L.,Oleaceae,Shrub / Small tree (Deciduous understory),Off-Plot / Regional Associate (Unverified at Quadrat Level),Native dry deciduous forest understory associate in Central India.,Sub-canopy understory component; GBH < 10 cm individuals unrecorded in tree sheets.,Category B (deciduous understory community),Requires formal nested understory sampling.
LEAD-H01,Parthenium hysterophorus L.,Asteraceae,Herb (Annual ruderal),Off-Plot / Regional Associate (Unverified at Quadrat Level),"Ubiquitous invasive weed on disturbed opencast mine margins, rail corridors, and fallow ground.",NO 1x1m herbaceous sub-quadrat data collected. Known regional dominant during wet season.,Category A (high monsoonal green-up amplitude followed by rapid dry-season senescence),Requires quantitative 1x1m nested herbaceous sub-quadrat sampling.
LEAD-H02,Senna tora (L.) Roxb. (syn. Cassia tora L.),Fabaceae,Herb (Annual legume),Off-Plot / Regional Associate (Unverified at Quadrat Level),Forms contiguous monospecific carpets on open overburden bunds and disturbed soil during July-September.,NO in-plot herb tallies. Conspicuous monsoonal flush noted regionally.,Category A (synchronous monsoon flush & abrupt post-monsoon dry-down),Requires quantitative 1x1m nested herbaceous sub-quadrat sampling.
LEAD-H03,Hyptis suaveolens (L.) Poit.,Lamiaceae,Herb / Subshrub (Annual/biennial aromatic),Off-Plot / Regional Associate (Unverified at Quadrat Level),"Dominates roadsides, cleared forest boundaries, and abandoned quarry edges.",NO in-plot herb tallies. Regional ruderal associate.,Category A/B (dense tall herbaceous canopies),Requires quantitative nested sub-quadrat survey.
LEAD-H04,Chromolaena odorata (L.) R.M.King & H.Rob.,Asteraceae,Herbaceous / Scandent subshrub,Off-Plot / Regional Associate (Unverified at Quadrat Level),"Moist degraded depressions, drainage lines, forest clearings.",Regional weed; unmeasured in tree plots.,Category B (semi-perennial scrub),Requires formal ground verification.
LEAD-H05,Acalypha indica L.,Euphorbiaceae,Herb (Annual forb),Off-Plot / Regional Associate (Unverified at Quadrat Level),"Ruderal patches, human habitation peripheries.",Trait matrix record; no quadrat-level tally.,Category C (not remotely detectable in 10-20m pixels),Requires ground verification.
LEAD-H06,Diplazium esculentum (Retz.) Sw.,Athyriaceae,Herb (Perennial riparian fern),Off-Plot / Regional Associate (Unverified at Quadrat Level),Moist shady drainage gullies near mine sumps (e.g. vicinity of OC-Q2).,Micro-habitat record; no plot tally.,Category C (occluded understory fern),Requires ground verification.
LEAD-H07,Cynodon dactylon (L.) Pers.,Poaceae,Herb (Perennial graminoid),Off-Plot / Regional Associate (Unverified at Quadrat Level),Patchy ground cover on unpaved tracks and forest openings.,Common regional ground cover; no cover percent recorded in tree sheets.,Category B (grass patch) / Category C (sub-canopy),Requires cover-abundance estimation.
