Item_ID,Acquisition_UTC,Acquisition_IST,Date_YYYY_MM_DD,Tile_MGRS,Platform,Season_IMD_Climatology,Season_Code,Scene_Cloud_Cover_Pct,Processing_Level,STAC_Collection,Asset_URL_B04,Asset_URL_B08,Asset_URL_SCL,Archive_Status,Preliminary_Run_Included
S2A_44QPK_20240105_0_L2A,2024-01-05T05:12:37.655000Z,2024-01-05 10:42:37,2024-01-05,44QPK,sentinel-2a,Winter / Post-monsoon,Winter,0.68,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240105_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240105_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240105_0_L2A/SCL.tif,Retained - Clear Candidate,False
S2B_44QPK_20240110_0_L2A,2024-01-10T05:12:39.527000Z,2024-01-10 10:42:39,2024-01-10,44QPK,sentinel-2b,Winter / Post-monsoon,Winter,56.46,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240110_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240110_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240110_0_L2A/SCL.tif,Excluded - Cloud Cover >30%,False
S2A_44QPK_20240115_0_L2A,2024-01-15T05:12:34.225000Z,2024-01-15 10:42:34,2024-01-15,44QPK,sentinel-2a,Winter / Post-monsoon,Winter,22.73,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240115_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240115_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240115_0_L2A/SCL.tif,Retained - Moderately Clear Candidate,False
S2B_44QPK_20240120_0_L2A,2024-01-20T05:12:40.566000Z,2024-01-20 10:42:40,2024-01-20,44QPK,sentinel-2b,Winter / Post-monsoon,Winter,99.96,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240120_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240120_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240120_0_L2A/SCL.tif,Excluded - Cloud Cover >30%,False
S2A_44QPK_20240125_0_L2A,2024-01-25T05:12:35.197000Z,2024-01-25 10:42:35,2024-01-25,44QPK,sentinel-2a,Winter / Post-monsoon,Winter,5.58,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240125_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240125_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2A_44QPK_20240125_0_L2A/SCL.tif,Retained - Clear Candidate,False
S2B_44QPK_20240130_0_L2A,2024-01-30T05:12:38.868000Z,2024-01-30 10:42:38,2024-01-30,44QPK,sentinel-2b,Winter / Post-monsoon,Winter,72.73,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240130_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240130_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/1/S2B_44QPK_20240130_0_L2A/SCL.tif,Excluded - Cloud Cover >30%,False
S2A_44QPK_20240204_0_L2A,2024-02-04T05:12:37.143000Z,2024-02-04 10:42:37,2024-02-04,44QPK,sentinel-2a,Winter / Post-monsoon,Winter,0.0,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2A_44QPK_20240204_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2A_44QPK_20240204_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2A_44QPK_20240204_0_L2A/SCL.tif,Retained - Clear Candidate,False
S2B_44QPK_20240209_0_L2A,2024-02-09T05:12:41.362000Z,2024-02-09 10:42:41,2024-02-09,44QPK,sentinel-2b,Winter / Post-monsoon,Winter,1.14,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2B_44QPK_20240209_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2B_44QPK_20240209_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2B_44QPK_20240209_0_L2A/SCL.tif,Retained - Clear Candidate,False
S2A_44QPK_20240214_0_L2A,2024-02-14T05:12:38.829000Z,2024-02-14 10:42:38,2024-02-14,44QPK,sentinel-2a,Winter / Post-monsoon,Winter,37.9,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2A_44QPK_20240214_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2A_44QPK_20240214_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2A_44QPK_20240214_0_L2A/SCL.tif,Excluded - Cloud Cover >30%,False
S2B_44QPK_20240219_0_L2A,2024-02-19T05:12:42.200000Z,2024-02-19 10:42:42,2024-02-19,44QPK,sentinel-2b,Winter / Post-monsoon,Winter,26.85,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2B_44QPK_20240219_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2B_44QPK_20240219_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/2/S2B_44QPK_20240219_0_L2A/SCL.tif,Retained - Moderately Clear Candidate,False
