Scene_ID,Date,Season,Quadrat_ID,Mining_type,Scene_Cloud_Pct,Window_Valid_Fraction_Pct,Predeclared_Threshold_Pct,Retained_For_Analysis,Exclusion_Reason
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,UG-Q1,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,UG-Q2,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,UG-Q3,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,UG-Q4,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,UG-Q5,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,OC-Q1,Opencast,0.0,81.82,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,OC-Q2,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,OC-Q3,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,OC-Q4,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20240325_0_L2A,2024-03-25,Summer,OC-Q5,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,UG-Q1,Underground,0.12,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,UG-Q2,Underground,0.12,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,UG-Q3,Underground,0.12,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,UG-Q4,Underground,0.12,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,UG-Q5,Underground,0.12,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,OC-Q1,Opencast,0.12,80.17,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,OC-Q2,Opencast,0.12,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,OC-Q3,Opencast,0.12,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,OC-Q4,Opencast,0.12,100.0,80.0,True,None
S2A_44QPK_20240514_0_L2A,2024-05-14,Summer,OC-Q5,Opencast,0.12,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,UG-Q1,Underground,4.28,100.0,80.0,True,None
