Quadrat_ID,Mining_type,Spatial_Zone,NDVI_Monsoon,NDVI_Summer,NDVI_Winter,EVI_Monsoon,EVI_Summer,EVI_Winter,NDRE_Monsoon,NDRE_Summer,NDRE_Winter,NDWI_Monsoon,NDWI_Summer,NDWI_Winter,NDWI_Moisture_Monsoon,NDWI_Moisture_Summer,NDWI_Moisture_Winter,RedEdge_Slope_Monsoon,RedEdge_Slope_Summer,RedEdge_Slope_Winter,SWIR_Ratio_Monsoon,SWIR_Ratio_Summer,SWIR_Ratio_Winter,Delta_NDVI_Monsoon_minus_Summer,Delta_NDVI_Winter_minus_Monsoon,Delta_NDRE_Monsoon_minus_Summer,Delta_NDRE_Winter_minus_Monsoon,Seasonal_NDVI_Amplitude,Winter_to_Monsoon_Ratio,Summer_to_Monsoon_Ratio,Winter_to_Monsoon_NDRE_Ratio
OC-Q1,Opencast,Zone_A_10m,0.6377999999999999,0.4576,0.579,0.3163,0.20274999999999999,0.26234999999999997,0.37965,0.25195,0.37525,-0.5803,-0.40525,-0.5437,0.1646,0.017400000000000002,0.23855,0.39285000000000003,0.253,0.4274,1.75105,1.43845,2.0097,0.1802,-0.0588,0.1277,-0.0044,0.1802,0.9078,0.7175,0.9884
OC-Q1,Opencast,Zone_B_50m,0.6308499999999999,0.44655,0.6152500000000001,0.3325,0.20400000000000001,0.3173,0.40245,0.2704,0.4366,-0.5678,-0.41795,-0.5654,0.15325,0.011850000000000001,0.2291,0.39315,0.25444999999999995,0.42145,1.7354500000000002,1.4237,1.968,0.1843,-0.0156,0.132,0.0342,0.1843,0.9753,0.7079,1.0849
OC-Q1,Opencast,Zone_C_50m,0.6155999999999999,0.43345,0.6111,0.32235,0.2016,0.31535,0.3931,0.26105,0.43089999999999995,-0.5581499999999999,-0.4119,-0.5628500000000001,0.13705,-0.0010000000000000009,0.21394999999999997,0.38580000000000003,0.24630000000000002,0.40959999999999996,1.6821,1.3974,1.9068,0.1821,-0.0045,0.132,0.0378,0.1821,0.9927,0.7041,1.0962
OC-Q1,Opencast,Zone_D_100m,0.5596,0.39444999999999997,0.56635,0.28535,0.18575,0.28115,0.35235000000000005,0.23395,0.3903,-0.51125,-0.3796,-0.5243,0.09444999999999999,-0.0259,0.1714,0.3562,0.23054999999999998,0.37785,1.57125,1.3405,1.7835999999999999,0.1652,0.0068,0.1184,0.0379,0.1652,1.0121,0.7049,1.1077
OC-Q2,Opencast,Zone_A_10m,0.36645,0.23854999999999998,0.41355,0.23399999999999999,0.13235000000000002,0.2505,0.26655,0.1632,0.31410000000000005,-0.3815,-0.29810000000000003,-0.4419,0.0203,-0.08875,0.02735,0.2363,0.1399,0.2358,1.24915,1.17725,1.3423,0.1279,0.0471,0.1034,0.0476,0.1279,1.1285,0.651,1.1784
OC-Q2,Opencast,Zone_B_50m,0.40975,0.27945,0.4226,0.2535,0.15645,0.24009999999999998,0.25295,0.15960000000000002,0.25870000000000004,-0.40075,-0.3107,-0.41925,0.016300000000000002,-0.08524999999999999,0.02735,0.2392,0.14700000000000002,0.23105,1.2723,1.1890999999999998,1.3483999999999998,0.1303,0.0128,0.0933,0.0058,0.1303,1.0314,0.682,1.0227
OC-Q2,Opencast,Zone_C_50m,0.41790000000000005,0.29755,0.40245,0.25475000000000003,0.1634,0.22305,0.2564,0.1684,0.2532,-0.40800000000000003,-0.32489999999999997,-0.40505,0.020449999999999996,-0.08015,0.0224,0.253,0.1621,0.22995,1.3165499999999999,1.2128999999999999,1.3742999999999999,0.1204,-0.0155,0.088,-0.0032,0.1204,0.963,0.712,0.9875
OC-Q2,Opencast,Zone_D_100m,0.4121,0.28335,0.37865,0.2534,0.15200000000000002,0.20829999999999999,0.2488,0.1588,0.2343,-0.40249999999999997,-0.3162,-0.39235,0.0239,-0.0886,0.0084,0.25544999999999995,0.161,0.22010000000000002,1.35275,1.2266,1.38405,0.1288,-0.0335,0.09,-0.0145,0.1288,0.9188,0.6876,0.9417
OC-Q3,Opencast,Zone_A_10m,0.34740000000000004,0.1894,0.28745,0.23795,0.10819999999999999,0.18455,0.14795,0.08055000000000001,0.1064,-0.3909,-0.28715,-0.34275,-0.05195,-0.2119,-0.10355,0.1514,0.08855,0.07865,1.2733500000000002,1.196,1.1720000000000002,0.158,-0.06,0.0674,-0.0416,0.158,0.8274,0.5452,0.7192
OC-Q3,Opencast,Zone_B_50m,0.27575,0.20765,0.24860000000000002,0.18209999999999998,0.1208,0.14939999999999998,0.152,0.11375,0.13319999999999999,-0.3283,-0.303,-0.32794999999999996,-0.039099999999999996,-0.20074999999999998,-0.081,0.16675,0.10515,0.1251,1.31995,1.2175500000000001,1.27255,0.0681,-0.0271,0.0382,-0.0188,0.0681,0.9015,0.753,0.8763
OC-Q3,Opencast,Zone_C_50m,0.3121,0.22644999999999998,0.29295,0.20340000000000003,0.131,0.1752,0.1728,0.1265,0.1555,-0.3653,-0.32465,-0.3661,-0.0279,-0.1886,-0.06609999999999999,0.1832,0.11535,0.15075,1.35785,1.2405,1.358,0.0856,-0.0192,0.0463,-0.0173,0.0856,0.9386,0.7256,0.8999
OC-Q3,Opencast,Zone_D_100m,0.33089999999999997,0.2339,0.3055,0.2218,0.1351,0.18680000000000002,0.18865,0.12705,0.16705,-0.3792,-0.3287,-0.3839,-0.021150000000000002,-0.16970000000000002,-0.06405,0.1956,0.11945,0.1568,1.3942999999999999,1.2641499999999999,1.41875,0.097,-0.0254,0.0616,-0.0216,0.097,0.9232,0.7069,0.8855
OC-Q4,Opencast,Zone_A_10m,0.6666,0.41590000000000005,0.6703,0.40879999999999994,0.2202,0.3885,0.41525,0.2205,0.42735,-0.5892999999999999,-0.45785,-0.6032500000000001,0.11395,-0.15745,0.1441,0.4124,0.17315000000000003,0.3932,1.78485,1.3719999999999999,2.0364,0.2507,0.0037,0.1948,0.0121,0.2507,1.0055,0.6239,1.0291
OC-Q4,Opencast,Zone_B_50m,0.64145,0.3591,0.6468499999999999,0.3943,0.18565,0.3548,0.3982,0.1911,0.38585,-0.58125,-0.41755,-0.58385,0.10469999999999999,-0.17015000000000002,0.12955,0.39799999999999996,0.1701,0.37305,1.7492,1.33685,1.9571999999999998,0.2824,0.0054,0.2071,-0.0123,0.2824,1.0084,0.5598,0.969
OC-Q4,Opencast,Zone_C_50m,0.6176,0.31615,0.6093,0.38644999999999996,0.16505,0.3378,0.3792,0.16799999999999998,0.36185,-0.562,-0.3865,-0.56025,0.09385,-0.18675,0.09910000000000001,0.38044999999999995,0.15084999999999998,0.3453,1.71135,1.30045,1.8809,0.3015,-0.0083,0.2112,-0.0173,0.3015,0.9866,0.5119,0.9542
OC-Q4,Opencast,Zone_D_100m,0.5841500000000001,0.2769,0.5699000000000001,0.3737,0.14595000000000002,0.32225000000000004,0.3558,0.14684999999999998,0.3363,-0.53965,-0.36119999999999997,-0.5398,0.0765,-0.2041,0.06975,0.35465,0.1306,0.3166,1.6532499999999999,1.2669,1.8017500000000002,0.3073,-0.0142,0.209,-0.0195,0.3073,0.9756,0.474,0.9452
OC-Q5,Opencast,Zone_A_10m,0.49915,0.2137,0.46955,0.34895000000000004,0.1134,0.26275,0.2678,0.08615,0.2577,-0.4759,-0.3081,-0.5034500000000001,0.04425,-0.18945,-0.00665,0.28385,0.11305,0.23895,1.55705,1.2845,1.5977999999999999,0.2854,-0.0296,0.1816,-0.0101,0.2854,0.9407,0.4281,0.9623
OC-Q5,Opencast,Zone_B_50m,0.48435,0.2299,0.45435,0.3338,0.12645,0.25825,0.28105,0.11349999999999999,0.2526,-0.47140000000000004,-0.32220000000000004,-0.5031,0.04265000000000001,-0.19055,-0.0026499999999999996,0.28164999999999996,0.1136,0.23149999999999998,1.556,1.2835999999999999,1.5981999999999998,0.2544,-0.03,0.1676,-0.0285,0.2544,0.9381,0.4747,0.8988
OC-Q5,Opencast,Zone_C_50m,0.4779,0.2363,0.4554,0.32089999999999996,0.13035,0.2617,0.27595000000000003,0.11889999999999999,0.25665,-0.46775,-0.3241,-0.49924999999999997,0.03774999999999999,-0.19405,-0.0013500000000000005,0.27635,0.11215,0.2276,1.54785,1.2766,1.5941,0.2416,-0.0225,0.1571,-0.0193,0.2416,0.9529,0.4945,0.9301
OC-Q5,Opencast,Zone_D_100m,0.48155000000000003,0.24780000000000002,0.46440000000000003,0.31765,0.13874999999999998,0.26585000000000003,0.27615,0.12385,0.26039999999999996,-0.46985,-0.32885,-0.49695,0.03845,-0.17925000000000002,0.005299999999999999,0.2794,0.12,0.23595,1.54115,1.2724,1.5969000000000002,0.2338,-0.0172,0.1523,-0.0158,0.2338,0.9644,0.5146,0.943
