Date,Season,Scene_ID,Quadrat_ID,Mining_type,Spatial_Zone,Pixel_Count,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,NDVI,EVI,NDRE,NDWI,NDWI_Moisture,RedEdge_Slope,SWIR_Ratio
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q1,Underground,Zone_A_10m,1,0.0742,0.0878,0.1064,0.1825,0.2166,0.2351,0.2146,0.2677,0.3538,0.2771,0.3371,0.2086,0.0808,-0.4193,-0.1386,0.1258,1.2771
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q1,Underground,Zone_B_50m,25,0.0837,0.1108,0.1375,0.1865,0.2196,0.2377,0.2319,0.2692,0.3578,0.2823,0.2596,0.1661,0.1084,-0.355,-0.1405,0.122,1.2694
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q1,Underground,Zone_C_50m,81,0.0855,0.1166,0.1496,0.1881,0.2192,0.2379,0.2427,0.2682,0.3587,0.2866,0.2408,0.1567,0.1259,-0.3512,-0.1433,0.118,1.2536
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q1,Underground,Zone_D_100m,317,0.0811,0.1114,0.1435,0.1831,0.2162,0.2348,0.2393,0.2648,0.3499,0.2776,0.2558,0.1627,0.1332,-0.3656,-0.1357,0.1255,1.2664
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q2,Underground,Zone_A_10m,1,0.059,0.0751,0.0814,0.1454,0.1901,0.2128,0.2164,0.2454,0.3027,0.2169,0.4533,0.2674,0.1961,-0.4847,-0.1044,0.188,1.3954
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q2,Underground,Zone_B_50m,25,0.0705,0.0937,0.1082,0.1538,0.1932,0.2156,0.2227,0.2476,0.3103,0.2278,0.348,0.2139,0.183,-0.4079,-0.1116,0.1685,1.3649
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q2,Underground,Zone_C_50m,81,0.0783,0.1032,0.1233,0.1627,0.1999,0.2207,0.226,0.2508,0.3191,0.2402,0.2979,0.1873,0.1623,-0.3742,-0.119,0.152,1.3324
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q2,Underground,Zone_D_100m,317,0.0836,0.1092,0.1316,0.1694,0.2061,0.2257,0.2291,0.2545,0.3208,0.2466,0.2732,0.1763,0.1496,-0.3552,-0.1144,0.1432,1.3043
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q3,Underground,Zone_A_10m,1,0.0583,0.0678,0.0658,0.1014,0.1228,0.135,0.1514,0.1444,0.1542,0.1092,0.3941,0.193,0.1977,-0.3814,-0.0328,0.1422,1.4126
2024-03-25,Summer,S2A_44QPK_20240325_0_L2A,UG-Q3,Underground,Zone_B_50m,25,0.0633,0.0812,0.0848,0.1046,0.1237,0.135,0.1538,0.146,0.162,0.1165,0.2372,0.1357,0.1387,-0.2451,-0.0591,0.1095,1.3967
