Quadrat_ID,Mining_type,Latitude,Longitude,Elevation_m,Colliery_Sector,Verified_Overstory_Stems,Verified_Tree_Species_Richness,Dominant_Tree_Taxa,AGB_t_ha,Carbon_Stock_tC_ha,In_Plot_Woody_Shrub_Status,Field_Plate_Understory_Observation,ZoneA_NDVI_Summer,ZoneA_NDVI_Monsoon,ZoneA_NDVI_Winter,ZoneA_Seasonal_Amplitude,ZoneA_Winter_to_Monsoon_Ratio,ZoneA_Summer_to_Monsoon_Ratio,ZoneB_NDVI_Summer,ZoneB_NDVI_Monsoon,ZoneB_NDVI_Winter,ZoneB_Seasonal_Amplitude,ZoneB_Winter_to_Monsoon_Ratio,Remotely_Characterized_Signal,Phenological_Mechanism_Rationale
UG-Q1,Underground,22.422136,82.586519,315.28,Banki / Balgi Colliery,6,5,"Ziziphus mauritiana, Vachellia nilotica",42.6,25.23,Measured in-plot woody shrub/small tree present,Mature tree architecture (Terminalia/Vachellia) near colliery infrastructure; exposed ground with dry litter and scanty vegetation.,0.3169,0.5186999999999999,0.5776,0.2018,1.1136,0.6109,0.2517,0.42035,0.4165,0.1687,0.9908,Canopy/Understory Signal: Persistent Woody / Shrub Baseline,High dry-season vegetation persistence reflecting evergreen/semi-deciduous overstory trees and perennial woody shrub layer.
UG-Q2,Underground,22.404199,82.633904,295.1,Surakachhar / Dhelwadih,4,3,"Wrightia tinctoria, Azadirachta indica",38.75,22.95,No measured shrub stem >=10cm GBH,Mature Wrightia & Azadirachta; dry litter with scattered understory growth; intact foliage condition; moderate canopy spacing.,0.3819,0.5943,0.5354,0.2124,0.9009,0.6426,0.31394999999999995,0.5468500000000001,0.4908,0.2329,0.8975,Canopy/Understory Signal: Persistent Woody / Shrub Baseline,High dry-season vegetation persistence reflecting evergreen/semi-deciduous overstory trees and perennial woody shrub layer.
UG-Q3,Underground,22.413226,82.630137,283.86,Surakachhar / Dhelwadih,6,4,"Shorea robusta, Ficus virens",45.1,26.71,Measured in-plot woody shrub/small tree present,Dense Shorea robusta (Sal) canopy; conspicuous understory vegetation with regenerating saplings and shrubs; high forest density.,0.4777,0.55255,0.46465,0.0748,0.8409,0.8645,0.2739,0.40049999999999997,0.34865,0.1266,0.8705,Canopy/Understory Signal: Mixed Deciduous Canopy with Understory Turnover,Intermediate seasonal amplitude reflecting deciduous crown leaf-drop and localized understory regeneration.
UG-Q4,Underground,22.395806,82.604232,305.95,Banki / Balgi Colliery,4,3,"Diospyros melanoxylon, Mangifera indica",40.8,24.16,No measured shrub stem >=10cm GBH,Dominant mature Ficus & Mangifera; massive trunk girths; forest floor with dry litter accumulation and bare soil patches.,0.4656,0.6267,0.5770500000000001,0.1611,0.9208,0.7429,0.43455,0.59205,0.54645,0.1575,0.923,Canopy/Understory Signal: Persistent Woody / Shrub Baseline,High dry-season vegetation persistence reflecting evergreen/semi-deciduous overstory trees and perennial woody shrub layer.
UG-Q5,Underground,22.430608,82.581408,313.58,Banki / Balgi Colliery,5,4,"Terminalia tomentosa, Alstonia scholaris",39.95,23.66,Measured in-plot woody shrub/small tree present,Moderate canopy density with broad leaves (Terminalia/Alstonia); dark bark patches; dry litter and poor understory growth.,0.26475,0.45694999999999997,0.3988,0.1922,0.8727,0.5794,0.24945,0.5035000000000001,0.53785,0.2541,1.0682,Canopy/Understory Signal: Mixed Deciduous Canopy with Understory Turnover,Intermediate seasonal amplitude reflecting deciduous crown leaf-drop and localized understory regeneration.
OC-Q1,Opencast,22.356579,82.57891,298.5,Gevra / Dipka Opencast Project,8,3,"Gmelina arborea, Eucalyptus tereticornis",28.4,16.81,No measured shrub stem >=10cm GBH,Reclamation plantation with Eucalyptus & Gmelina; open broken canopy; dry leaf litter with sparse saplings; heavy overburden impact.,0.4576,0.6377999999999999,0.579,0.1802,0.9078,0.7175,0.44655,0.6308499999999999,0.6152500000000001,0.1843,0.9753,Canopy/Understory Signal: Persistent Woody / Shrub Baseline,High dry-season vegetation persistence reflecting evergreen/semi-deciduous overstory trees and perennial woody shrub layer.
OC-Q2,Opencast,22.358327,82.580214,302.1,Gevra / Dipka Opencast Project,4,4,"Ficus benghalensis, Carissa carandas",31.2,18.48,Measured in-plot woody shrub/small tree present,Adjacent to mine water drainage sump; mature Ficus & Carissa carandas; dry soil with limited herbaceous ground layer; localized foliar chlorosis.,0.23854999999999998,0.36645,0.41355,0.1279,1.1285,0.651,0.27945,0.40975,0.4226,0.1303,1.0314,Canopy/Understory Signal: Persistent Woody / Shrub Baseline,High dry-season vegetation persistence reflecting evergreen/semi-deciduous overstory trees and perennial woody shrub layer.
OC-Q3,Opencast,22.359611,82.582041,304.4,Gevra / Dipka Opencast Project,7,3,"Pongamia pinnata, Diospyros melanoxylon",26.75,15.84,No measured shrub stem >=10cm GBH,Planted Pongamia stand with mature Diospyros; woody climber (Bauhinia vahlii) on boles; bare rocky spoil patches with dry litter.,0.1894,0.34740000000000004,0.28745,0.158,0.8274,0.5452,0.20765,0.27575,0.24860000000000002,0.0681,0.9015,Canopy/Understory Signal: Mixed Deciduous Canopy with Understory Turnover,Intermediate seasonal amplitude reflecting deciduous crown leaf-drop and localized understory regeneration.
OC-Q4,Opencast,22.361084,82.584993,307.8,Gevra / Dipka Opencast Project,8,3,"Holarrhena antidysenterica, Mangifera indica",29.85,17.67,Measured in-plot woody shrub/small tree present,Semi-open canopy dominated by 5 Holarrhena stems; dry leaf litter and bare compacted soil patches; disturbed opencast perimeter.,0.41590000000000005,0.6666,0.6703,0.2507,1.0055,0.6239,0.3591,0.64145,0.6468499999999999,0.2824,1.0084,Canopy/Understory Signal: Persistent Woody / Shrub Baseline,High dry-season vegetation persistence reflecting evergreen/semi-deciduous overstory trees and perennial woody shrub layer.
OC-Q5,Opencast,22.36279,82.587521,310.2,Gevra / Dipka Opencast Project,6,3,"Tamarindus indica, Ficus racemosa",27.9,16.52,No measured shrub stem >=10cm GBH,Multi-stemmed tree growth with Tamarindus & Mangifera; compound leaf foliage; anthropogenic debris and disturbed ground layer.,0.2137,0.49915,0.46955,0.2854,0.9407,0.4281,0.2299,0.48435,0.45435,0.2544,0.9381,Canopy/Understory Signal: High Seasonal Green-Up Flush,"High seasonal amplitude driven by annual herbaceous green-up on open ground, followed by post-monsoon senescence."
