Quadrat_ID,Mining_Type,Latitude,Longitude,Colliery_Sector,SoilGrids_pH,SoilGrids_SOC_pct,SoilGrids_BD_g_cm3,SoilGrids_Sand_pct,SoilGrids_Silt_pct,SoilGrids_Clay_pct,SoilGrids_CEC_cmol_kg,SoilGrids_Total_N_g_kg,SoilGrids_Coarse_Fragments_pct,SoilGrids_Provenance,Nearest_Published_Station,Distance_to_Station_km,Measured_Data_Source,Measured_pH,Measured_OC_pct,Measured_BD_g_cm3,Measured_As_mg_kg,Measured_Cd_mg_kg,Measured_Pb_mg_kg,Measured_Hg_mg_kg,Measured_Cr_mg_kg,Measured_Mn_mg_kg,Measured_Cu_mg_kg,Measured_Zn_mg_kg,Regional_V_mg_kg,Regional_Co_mg_kg,Regional_Th_mg_kg,Regional_U_mg_kg,Measured_Provenance,Regional_Trace_Provenance
UG-Q1,Underground,22.422136,82.586519,Banki / Balgi Colliery,7.3,1.28,1.59,18.6,33.4,48.0,43.2,1.82,10.8,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Banki Mongra,2.43,Patel et al. 2016 (0-15cm); Sharma et al. 2019 (0-10cm),6.47,0.54,1.28-1.45 (forest/woodland),120,0.21,110,0.26,94,2854,197,286,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
UG-Q2,Underground,22.404199,82.633904,Surakachhar / Dhelwadih,7.4,1.56,1.66,17.5,33.5,49.0,43.5,1.85,13.2,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Dhelwadih,0.67,Sharma et al. 2019 (0-10cm); Surakachhar EIA,5.8-6.2 (regional UG),0.45-0.65 (regional UG),1.28-1.45 (forest/woodland),100,0.63,81,0.31,567,3442,218,426,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
UG-Q3,Underground,22.413226,82.630137,Surakachhar / Dhelwadih,7.4,1.46,1.61,17.1,36.5,46.4,43.4,2.01,11.6,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Dhelwadih,1.08,Sharma et al. 2019 (0-10cm); Surakachhar EIA,5.8-6.2 (regional UG),0.45-0.65 (regional UG),1.28-1.45 (forest/woodland),100,0.63,81,0.31,567,3442,218,426,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
UG-Q4,Underground,22.395806,82.604232,Banki / Balgi Colliery,7.5,1.35,1.61,16.5,36.0,47.5,42.0,1.75,11.1,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Banki Mongra,1.14,Patel et al. 2016 (0-15cm); Sharma et al. 2019 (0-10cm),6.47,0.54,1.28-1.45 (forest/woodland),120,0.21,110,0.26,94,2854,197,286,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
UG-Q5,Underground,22.430608,82.581408,Banki / Balgi Colliery,7.4,1.38,1.60,18.7,30.0,51.3,42.4,1.66,10.0,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Banki Mongra,3.49,Patel et al. 2016 (0-15cm); Sharma et al. 2019 (0-10cm),6.47,0.54,1.28-1.45 (forest/woodland),120,0.21,110,0.26,94,2854,197,286,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
OC-Q1,Opencast,22.356579,82.578910,Gevra / Dipka Opencast Project,7.4,1.41,1.61,17.6,36.6,45.7,42.2,1.45,14.1,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Gevra Chowk / OCP,1.73,Patel et al. 2016 (0-15cm); Sharma et al. 2019 (0-10cm); Singh et al. 2022,6.65,0.35,1.30-1.78 (chronosequence dump-to-reclaimed),102,0.31,114,0.22,96,2934,189,183,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
OC-Q2,Opencast,22.358327,82.580214,Gevra / Dipka Opencast Project,7.4,1.54,1.61,17.6,37.3,45.1,42.6,1.49,13.0,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Gevra Chowk / OCP,1.75,Patel et al. 2016 (0-15cm); Sharma et al. 2019 (0-10cm); Singh et al. 2022,6.65,0.35,1.30-1.78 (chronosequence dump-to-reclaimed),102,0.31,114,0.22,96,2934,189,183,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
OC-Q3,Opencast,22.359611,82.582041,Gevra / Dipka Opencast Project,7.4,1.42,1.62,17.7,38.0,44.3,46.0,1.70,12.6,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Gevra Chowk / OCP,1.71,Patel et al. 2016 (0-15cm); Sharma et al. 2019 (0-10cm); Singh et al. 2022,6.65,0.35,1.30-1.78 (chronosequence dump-to-reclaimed),102,0.31,114,0.22,96,2934,189,183,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
OC-Q4,Opencast,22.361084,82.584993,Gevra / Dipka Opencast Project,7.4,1.50,1.63,18.2,37.2,44.6,45.9,1.74,11.8,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Gevra Chowk / OCP,1.67,Patel et al. 2016 (0-15cm); Sharma et al. 2019 (0-10cm); Singh et al. 2022,6.65,0.35,1.30-1.78 (chronosequence dump-to-reclaimed),102,0.31,114,0.22,96,2934,189,183,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
OC-Q5,Opencast,22.362790,82.587521,Gevra / Dipka Opencast Project,7.4,1.56,1.63,18.4,36.8,44.8,46.0,1.69,12.5,"SOILGRIDS_MODELLED (250m cell, 0-5cm)",Gevra Chowk / OCP,1.74,Patel et al. 2016 (0-15cm); Sharma et al. 2019 (0-10cm); Singh et al. 2022,6.65,0.35,1.30-1.78 (chronosequence dump-to-reclaimed),102,0.31,114,0.22,96,2934,189,183,308,92,123,32,"MEASURED_NEARBY (<3.5 km, field/lab published)",REGIONAL_REFERENCE (Gevra-Dipka-Kusmunda mining belt)
