Scientific_Name,Family,Stratum,Provenance,N_Fixing,Phenology,Drought_Tolerance,Shade_Tolerance,Dispersal_Mode,Pollinator_Wildlife_Value,Grime_CSR_Strategy,Restoration_Suitability,Authoritative_Flora_Citation,Taxonomic_Backbone_Verification,Functional_Trait_Database,Provenance_Governance_Flag
Shorea robusta,Dipterocarpaceae,Tree,Native,No,Semi-evergreen,Moderate,Intermediate,Anemochory (Winged fruit),"High (Timber, resin, bird nesting)",Competitor (C),Climax Framework Species,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Terminalia tomentosa,Combretaceae,Tree,Native,No,Deciduous,High,Light-demanding,Anemochory (Winged fruit),High (Tasar silkworm host),Stress-Tolerator (S),High Priority Native,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Terminalia elliptica,Combretaceae,Tree,Native,No,Deciduous,High,Light-demanding,Anemochory (Winged fruit),High (Silkworm host),Stress-Tolerator (S),High Priority Native,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Diospyros melanoxylon,Ebenaceae,Tree,Native,No,Deciduous,Very High,Light-demanding,Zoochory (Frugivores),"High (Kendu leaves, edible fruit)",Stress-Tolerator (S),Top Soil Stabilizer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Madhuca longifolia,Sapotaceae,Tree,Native,No,Deciduous,High,Light-demanding,"Zoochory (Bats, birds)",Critical (Keystone nectar/fruit),Competitor-Stress Tolerator (CS),Keystone Native,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Butea monosperma,Fabaceae,Tree,Native,Yes (Nodule-forming),Deciduous,Very High,Light-demanding,Anemochory (Pod dispersal),"High (Bird pollinated, lac host)",Stress-Tolerator (S),Top Spoil Pioneer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Pongamia pinnata,Fabaceae,Tree,Native / Planted,Yes (Nodule-forming),Deciduous / Late flush,High,Intermediate,Hydrochory / Zoochory,"High (Bee forage, seed oil)",Competitor-Ruderal (CR),Excellent Reclamation N-Fixer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Eucalyptus tereticornis,Myrtaceae,Tree,Exotic / Planted,No,Evergreen,High,Light-demanding,Anemochory (Tiny seeds),Low (Pollen source; depauperate understory),Competitor (C),Technical Spoil Cover Only,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Gmelina arborea,Lamiaceae,Tree,Native / Planted,No,Deciduous,Moderate,Light-demanding,Zoochory (Frugivores),High (Nectar rich bloom),Competitor (C),Fast Growing Native,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Ficus benghalensis,Moraceae,Tree,Native,No,Evergreen,Very High,Intermediate,Zoochory (Frugivores),Critical (Keystone fruit source),Competitor (C),Keystone Ecological Anchor,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
