Landscape_Class,Site_ID,Site_Name,Subsample_Quadrat_ID,Quadrat_Size,Latitude,Longitude,Elevation_m,Slope_deg,Aspect,Topographic_Microstratum,Inter_Quadrat_Spacing_m,Geological_Substrate,Design_Role,Statistical_Status
Underground Mining,UG-SITE-01,Banki Colliery (Incline No. 3 Lease),UG-SITE-01-Q01,10 m x 10 m (100 m2),22.422136,82.586519,315.3,3.5,North,Upper Crest / Ridge,0,Barakar Formation (Sandstone/Shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-01,Banki Colliery (Incline No. 3 Lease),UG-SITE-01-Q02,10 m x 10 m (100 m2),22.422723,82.58681,313.2,4.2,North-East,Mid-Slope (Upper),60,Barakar Formation (Sandstone/Shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-01,Banki Colliery (Incline No. 3 Lease),UG-SITE-01-Q03,10 m x 10 m (100 m2),22.42322,82.586276,310.8,3.8,East,Mid-Slope (Lower),60,Barakar Formation (Sandstone/Shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-01,Banki Colliery (Incline No. 3 Lease),UG-SITE-01-Q04,10 m x 10 m (100 m2),22.423807,82.586956,308.1,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Barakar Formation (Sandstone/Shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-01,Banki Colliery (Incline No. 3 Lease),UG-SITE-01-Q05,10 m x 10 m (100 m2),22.424304,82.586422,306.3,1.5,Depression,Drainage / Swale Margin,60,Barakar Formation (Sandstone/Shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-02,Balgi Colliery (Shaft Compartment Lease),UG-SITE-02-Q01,10 m x 10 m (100 m2),22.395806,82.604232,306.0,3.5,North,Upper Crest / Ridge,0,Barakar Formation (Feldspathic sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-02,Balgi Colliery (Shaft Compartment Lease),UG-SITE-02-Q02,10 m x 10 m (100 m2),22.396393,82.604523,303.9,4.2,North-East,Mid-Slope (Upper),60,Barakar Formation (Feldspathic sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-02,Balgi Colliery (Shaft Compartment Lease),UG-SITE-02-Q03,10 m x 10 m (100 m2),22.39689,82.603989,301.5,3.8,East,Mid-Slope (Lower),60,Barakar Formation (Feldspathic sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-02,Balgi Colliery (Shaft Compartment Lease),UG-SITE-02-Q04,10 m x 10 m (100 m2),22.397477,82.604669,298.8,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Barakar Formation (Feldspathic sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-02,Balgi Colliery (Shaft Compartment Lease),UG-SITE-02-Q05,10 m x 10 m (100 m2),22.397974,82.604135,297.0,1.5,Depression,Drainage / Swale Margin,60,Barakar Formation (Feldspathic sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-03,Surakachhar Colliery (East Block Incline),UG-SITE-03-Q01,10 m x 10 m (100 m2),22.404199,82.633904,295.1,3.5,North,Upper Crest / Ridge,0,Barakar Formation (Coarse sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
