Quadrat_ID,Mining_type,Spatial_Zone,NDVI_Monsoon,NDVI_Summer,NDVI_Winter,EVI_Monsoon,EVI_Summer,EVI_Winter,NDRE_Monsoon,NDRE_Summer,NDRE_Winter,NDWI_Monsoon,NDWI_Summer,NDWI_Winter,NDWI_Moisture_Monsoon,NDWI_Moisture_Summer,NDWI_Moisture_Winter,RedEdge_Slope_Monsoon,RedEdge_Slope_Summer,RedEdge_Slope_Winter,SWIR_Ratio_Monsoon,SWIR_Ratio_Summer,SWIR_Ratio_Winter,Delta_NDVI_Monsoon_minus_Summer,Delta_NDVI_Winter_minus_Monsoon,Delta_NDRE_Monsoon_minus_Summer,Delta_NDRE_Winter_minus_Monsoon,Seasonal_NDVI_Amplitude,Winter_to_Monsoon_Ratio,Summer_to_Monsoon_Ratio,Winter_to_Monsoon_NDRE_Ratio,Zone_Dimensions,Descriptive_Classification_Rule,Field_Ecological_Audit_Notes,NDVI_GreenSeason,EVI_GreenSeason,NDRE_GreenSeason,NDWI_GreenSeason,NDWI_Moisture_GreenSeason,RedEdge_Slope_GreenSeason,SWIR_Ratio_GreenSeason,Delta_NDVI_GreenSeason_minus_Summer,Delta_NDVI_Winter_minus_GreenSeason,Winter_to_GreenSeason_Ratio,Summer_to_GreenSeason_Ratio,Winter_to_GreenSeason_NDRE_Ratio,NDVI_Summer_3dec,NDVI_GreenSeason_3dec,NDVI_Winter_3dec,Seasonal_NDVI_Amplitude_3dec,Winter_to_GreenSeason_Ratio_3dec,Summer_to_GreenSeason_Ratio_3dec
OC-Q1,Opencast,Zone_A_10m,0.6377999999999999,0.4576,0.579,0.3163,0.2027499999999999,0.2623499999999999,0.37965,0.25195,0.37525,-0.5803,-0.40525,-0.5437,0.1646,0.0174,0.23855,0.39285,0.253,0.4274,1.75105,1.43845,2.0097,0.1802,-0.0588,0.1277,-0.0044,0.1802,0.9078,0.7175,0.9884,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Persistent Greenness Signal,Planted Eucalyptus stand on legacy mine spoil overburden; exhibits relatively high dry-season spectral retention.,0.6377999999999999,0.3163,0.37965,-0.5803,0.1646,0.39285,1.75105,0.1802,-0.0588,0.9078,0.7175,0.9884,0.458,0.638,0.579,0.18,0.908,0.718
OC-Q1,Opencast,Zone_B_50m,0.6308499999999999,0.44655,0.6152500000000001,0.3325,0.204,0.3173,0.40245,0.2704,0.4366,-0.5678,-0.41795,-0.5654,0.15325,0.01185,0.2291,0.39315,0.2544499999999999,0.42145,1.7354500000000002,1.4237,1.968,0.1843,-0.0156,0.132,0.0342,0.1843,0.9753,0.7079,1.0849,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.6308499999999999,0.3325,0.40245,-0.5678,0.15325,0.39315,1.7354500000000002,0.1843,-0.0156,0.9753,0.7079,1.0849,0.447,0.631,0.615,0.184,0.975,0.708
OC-Q1,Opencast,Zone_C_50m,0.6155999999999999,0.43345,0.6111,0.32235,0.2016,0.31535,0.3931,0.26105,0.4308999999999999,-0.5581499999999999,-0.4119,-0.5628500000000001,0.13705,-0.001,0.2139499999999999,0.3858,0.2463,0.4095999999999999,1.6821,1.3974,1.9068,0.1821,-0.0045,0.132,0.0378,0.1821,0.9927,0.7041,1.0962,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.6155999999999999,0.32235,0.3931,-0.5581499999999999,0.13705,0.3858,1.6821,0.1821,-0.0045,0.9927,0.7041,1.0962,0.433,0.616,0.611,0.182,0.993,0.704
OC-Q1,Opencast,Zone_D_100m,0.5596,0.3944499999999999,0.56635,0.28535,0.18575,0.28115,0.35235,0.23395,0.3903,-0.51125,-0.3796,-0.5243,0.0944499999999999,-0.0259,0.1714,0.3562,0.2305499999999999,0.37785,1.57125,1.3405,1.7836,0.1652,0.0068,0.1184,0.0379,0.1652,1.0121,0.7049,1.1077,"Radius 100 m disc (317 pixels, 3.17 ha)",N/A (Multi-scale support),"Aggregated across Radius 100 m disc (317 pixels, 3.17 ha)",0.5596,0.28535,0.35235,-0.51125,0.0944499999999999,0.3562,1.57125,0.1652,0.0068,1.0121,0.7049,1.1077,0.394,0.56,0.566,0.165,1.012,0.705
OC-Q2,Opencast,Zone_A_10m,0.36645,0.2385499999999999,0.41355,0.2339999999999999,0.13235,0.2505,0.26655,0.1632,0.3141,-0.3815,-0.2981,-0.4419,0.0203,-0.08875,0.02735,0.2363,0.1399,0.2358,1.24915,1.17725,1.3423,0.1279,0.0471,0.1034,0.0476,0.1279,1.1285,0.651,1.1784,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Disturbed Transition (Drainage Feature Trajectory),"Depression adjacent to mine water drainage feature; winter composite = 0.414 (mean of Nov 20: 0.374 and Dec 30: 0.453; Dec 30 acquisition = 0.4533). The trajectory is consistent with a possible moisture-related influence near the drainage feature; however, neither soil moisture nor the abundance of wetland vegetation was quantitatively measured.",0.36645,0.2339999999999999,0.26655,-0.3815,0.0203,0.2363,1.24915,0.1279,0.0471,1.1285,0.651,1.1784,0.239,0.366,0.414,0.128,1.128,0.651
OC-Q2,Opencast,Zone_B_50m,0.40975,0.27945,0.4226,0.2535,0.15645,0.2400999999999999,0.25295,0.1596,0.2587,-0.40075,-0.3107,-0.41925,0.0163,-0.0852499999999999,0.02735,0.2392,0.147,0.23105,1.2723,1.1890999999999998,1.3483999999999998,0.1303,0.0128,0.0933,0.0058,0.1303,1.0314,0.682,1.0227,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.40975,0.2535,0.25295,-0.40075,0.0163,0.2392,1.2723,0.1303,0.0128,1.0314,0.682,1.0227,0.279,0.41,0.423,0.13,1.031,0.682
OC-Q2,Opencast,Zone_C_50m,0.4179,0.29755,0.40245,0.25475,0.1634,0.22305,0.2564,0.1684,0.2532,-0.408,-0.3248999999999999,-0.40505,0.0204499999999999,-0.08015,0.0224,0.253,0.1621,0.22995,1.31655,1.2129,1.3743,0.1204,-0.0155,0.088,-0.0032,0.1204,0.963,0.712,0.9875,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.4179,0.25475,0.2564,-0.408,0.0204499999999999,0.253,1.31655,0.1204,-0.0155,0.963,0.712,0.9875,0.298,0.418,0.402,0.12,0.963,0.712
OC-Q2,Opencast,Zone_D_100m,0.4121,0.28335,0.37865,0.2534,0.152,0.2082999999999999,0.2488,0.1588,0.2343,-0.4024999999999999,-0.3162,-0.39235,0.0239,-0.0886,0.0084,0.2554499999999999,0.161,0.2201,1.35275,1.2266,1.38405,0.1288,-0.0335,0.09,-0.0145,0.1288,0.9188,0.6876,0.9417,"Radius 100 m disc (317 pixels, 3.17 ha)",N/A (Multi-scale support),"Aggregated across Radius 100 m disc (317 pixels, 3.17 ha)",0.4121,0.2534,0.2488,-0.4024999999999999,0.0239,0.2554499999999999,1.35275,0.1288,-0.0335,0.9188,0.6876,0.9417,0.283,0.412,0.379,0.129,0.919,0.688
OC-Q3,Opencast,Zone_A_10m,0.3474,0.1894,0.28745,0.23795,0.1081999999999999,0.18455,0.14795,0.08055,0.1064,-0.3909,-0.28715,-0.34275,-0.05195,-0.2119,-0.10355,0.1514,0.08855,0.07865,1.2733500000000002,1.196,1.1720000000000002,0.158,-0.06,0.0674,-0.0416,0.158,0.8274,0.5452,0.7192,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Disturbed Transition (Rocky Spoil),Stony overburden substrate; sparse Millettia pinnata and woody climbers; lowest overall NDVI across all seasons.,0.3474,0.23795,0.14795,-0.3909,-0.05195,0.1514,1.2733500000000002,0.158,-0.06,0.8274,0.5452,0.7192,0.189,0.347,0.287,0.158,0.827,0.545
OC-Q3,Opencast,Zone_B_50m,0.27575,0.20765,0.2486,0.1820999999999999,0.1208,0.1493999999999999,0.152,0.11375,0.1331999999999999,-0.3283,-0.303,-0.3279499999999999,-0.0390999999999999,-0.2007499999999999,-0.081,0.16675,0.10515,0.1251,1.31995,1.21755,1.27255,0.0681,-0.0271,0.0382,-0.0188,0.0681,0.9015,0.753,0.8763,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.27575,0.1820999999999999,0.152,-0.3283,-0.0390999999999999,0.16675,1.31995,0.0681,-0.0271,0.9015,0.753,0.8763,0.208,0.276,0.249,0.068,0.902,0.753
