S_No,Reported_Name,Accepted_Name_POWO,Family,Reported_Mining_Area,Growth_Form,Published_Reference
1,Alstonia scholaris,Alstonia scholaris (L.) R.Br.,Apocynaceae,UG,Tree (Evergreen),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
2,Azadirachta indica,Azadirachta indica A.Juss.,Meliaceae,UG,Tree (Deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
3,Bauhinia vahlii,Phanera vahlii (Wight & Arn.) Benth. (syn. Bauhinia vahlii),Fabaceae,OC,Giant woody climber / Liana,"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
4,Butea monosperma,Butea monosperma (Lam.) Taub.,Fabaceae,OC,Tree (Deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
5,Carissa carandas,Carissa carandas L.,Apocynaceae,OC,Large thorny shrub / small tree,"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
6,Diospyros melanoxylon,Diospyros melanoxylon Roxb.,Ebenaceae,OC & UG,Tree (Deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
7,Eucalyptus tereticornis,Eucalyptus tereticornis Sm.,Myrtaceae,OC,Tree (Evergreen plantation),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
8,Ficus benghalensis,Ficus benghalensis L.,Moraceae,OC,Tree (Large evergreen),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
9,Ficus racemosa,Ficus racemosa L.,Moraceae,OC,Tree (Deciduous/semi-evergreen),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
10,Ficus religiosa,Ficus religiosa L.,Moraceae,UG,Tree (Large semi-evergreen),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
11,Ficus virens,Ficus virens Aiton,Moraceae,UG,Tree (Deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
12,Gmelina arborea,Gmelina arborea Roxb. ex Sm.,Lamiaceae,OC,Tree (Deciduous plantation),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
13,Holarrhena antidysenterica,Holarrhena pubescens Wall. ex G.Don (syn. H. antidysenterica),Apocynaceae,OC,Shrub / Small tree (Deciduous subcanopy),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
14,Madhuca longifolia,Madhuca longifolia (J.Koenig ex L.) J.F.Macbr.,Sapotaceae,UG,Tree (Deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
15,Mangifera indica,Mangifera indica L.,Anacardiaceae,OC & UG,Tree (Large evergreen),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
16,Millingtonia hortensis,Millingtonia hortensis L.f.,Bignoniaceae,OC,Tree (Evergreen ornamental/avenue),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
17,Pongamia pinnata,Pongamia pinnata (L.) Pierre,Fabaceae,OC,Tree (Semi-evergreen plantation),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
18,Shorea robusta,Shorea robusta Gaertn.,Dipterocarpaceae,UG,Tree (Climax dominant semi-deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
19,Tamarindus indica,Tamarindus indica L.,Fabaceae,OC & UG,Tree (Large evergreen),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
20,Terminalia elliptica,Terminalia elliptica Willd.,Combretaceae,UG,Tree (Large deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
21,Terminalia tomentosa,Terminalia tomentosa (Roxb.) Wight & Arn.,Combretaceae,UG,Tree (Large deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
22,Tectona grandis,Tectona grandis L.f.,Lamiaceae,OC & UG,Tree (Deciduous timber),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
23,Vachellia nilotica,Vachellia nilotica (L.) P.J.H.Hurter & Mabb.,Fabaceae,UG,Tree (Deciduous thorny),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
24,Wrightia tinctoria,Wrightia tinctoria R.Br.,Apocynaceae,UG,Small tree (Deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
25,Ziziphus mauritiana,Ziziphus mauritiana Lam.,Rhamnaceae,UG,Small tree / Thorny shrub (Deciduous),"Sharma, Banerjee & Deb (2026), Appendix B Table 20"
