Quadrat_ID,Mining_type,PC1_Score,PC2_Score,PC3_Score,ModelB_PC1_Score,ModelB_PC2_Score,Feature,PC1_Loading,PC2_Loading,PC3_Loading
OC-Q1,Opencast,3.1245,-0.4483,-0.0737,3.1376,-0.0643,NDVI_Summer,0.3525,-0.292,0.1638
OC-Q2,Opencast,-2.5388,0.8007,2.3679,-2.4493,0.7678,NDVI_Monsoon,0.3956,-0.0014,-0.1319
OC-Q3,Opencast,-4.4123,-1.1346,-0.9301,-4.395,-0.7652,NDVI_Winter,0.3617,0.2263,0.103
OC-Q4,Opencast,3.4556,1.5712,-0.1015,3.3675,1.1573,NDRE_Summer,0.3142,-0.3431,0.2774
OC-Q5,Opencast,-1.0219,1.5799,-1.6099,-1.1802,0.7212,NDRE_Monsoon,0.3757,0.1297,0.0411
UG-Q1,Underground,-1.0471,1.6388,0.7358,-1.0687,0.6598,NDRE_Winter,0.2486,0.3972,0.2711
UG-Q2,Underground,0.9739,-0.2936,-0.951,0.9346,-0.5885,SWIR_Ratio_Summer,0.3711,-0.2114,-0.1224
UG-Q3,Underground,0.3437,-3.2737,0.3698,0.5137,-2.5077,SWIR_Ratio_Monsoon,0.3778,0.0597,-0.3138
UG-Q4,Underground,2.6866,-0.6938,0.6386,2.7327,-0.1841,Seasonal_NDVI_Amplitude,0.0784,0.5401,-0.5488
UG-Q5,Underground,-1.5642,0.2534,-0.4459,-1.593,0.8036,Winter_to_Monsoon_Ratio,-0.0094,0.4808,0.6151
