Site_ID,Site_Name,Mining_Type,Number_of_Quadrats,Spatial_Extent_ha,Colliery_Operator,Provenance_Governance_Flag
UG-SITE-1,Banki Colliery (Incline Area),Underground,5,45.0,SECL Korba Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
UG-SITE-2,Balgi Colliery (Subsurface Lease),Underground,5,52.0,SECL Korba Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
UG-SITE-3,Surakachhar Colliery (Shaft Compartment),Underground,5,60.0,SECL Korba Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
UG-SITE-4,Dhelwadih Colliery (Ventilation Buffer),Underground,5,38.0,SECL Korba Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
UG-SITE-5,Singhali Underground Colliery,Underground,5,48.0,SECL Korba Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
OC-SITE-1,Gevra Opencast Project (External Dump No. 4),Opencast,5,120.0,SECL Gevra Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
OC-SITE-2,Dipka Opencast Project (North Overburden Slope),Opencast,5,115.0,SECL Dipka Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
OC-SITE-3,Kusmunda Opencast Project (Overburden Complex),Opencast,5,140.0,SECL Kusmunda Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
OC-SITE-4,Manikpur Opencast Mine (Reclaimed Voids & Spoil),Opencast,5,85.0,SECL Korba Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
OC-SITE-5,Gevra East Stabilized Perimeter Berm (OC-Q4 model),Opencast,5,65.0,SECL Gevra Area,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
REF-SITE-1,Katghora Reserve Forest (North Hasdeo),Reference,5,250.0,Chhattisgarh State Forest Dept,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
REF-SITE-2,Lemru Elephant Reserve Buffer Block,Reference,5,420.0,Chhattisgarh State Forest Dept,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
REF-SITE-3,Pali Range Native Teak-Sal Forest,Reference,5,310.0,Chhattisgarh State Forest Dept,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
REF-SITE-4,Tiwarta Forest Beat Climax Sal Stand,Reference,5,180.0,Chhattisgarh State Forest Dept,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
REF-SITE-5,Kudmura Forest Biodiversity Corridor,Reference,5,290.0,Chhattisgarh State Forest Dept,PROPOSED_N75_HIERARCHICAL_SAMPLING_DESIGN (Proposed future study architecture; do not report as completed replication)
