Quadrat_ID,Mining_Type,Penetration_Resistance_0_10cm_MPa,Penetration_Resistance_10_20cm_MPa,Steady_Infiltration_Rate_mm_h,Water_Stable_Aggregates_pct,Mean_Weight_Diameter_mm,Depth_to_Hardpan_or_Spoil_cm,Water_Holding_Capacity_pct,Field_Capacity_pct,Permanent_Wilting_Point_pct,Plant_Avail_Water_Content_pct,Saturated_Hydraulic_Cond_cm_h,Surface_Crusting_Score_1_5,Erosion_Score_1_5,EC_dS_m,Exch_Ca_cmol_kg,Exch_Mg_cmol_kg,Exch_Na_cmol_kg,Exch_K_cmol_kg,SAR,CaCO3_g_kg,Provenance_Governance_Flag
UG-Q1,Underground,1.45,1.82,28.5,54.2,1.62,65,46.8,26.5,13.2,13.3,3.8,1.8,1.5,0.28,18.5,7.2,0.42,0.85,0.38,4.5,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
UG-Q2,Underground,1.52,1.95,24.2,51.8,1.55,58,44.2,25.1,12.8,12.3,3.2,2.0,1.6,0.32,17.2,6.8,0.48,0.78,0.45,5.2,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
UG-Q3,Underground,1.28,1.65,36.5,61.5,1.88,72,51.0,29.4,14.1,15.3,4.9,1.2,1.1,0.24,21.4,8.5,0.35,0.98,0.29,3.8,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
UG-Q4,Underground,1.48,1.88,26.8,53.0,1.58,60,45.5,25.8,13.0,12.8,3.5,1.9,1.4,0.29,18.0,7.0,0.4,0.82,0.36,4.8,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
UG-Q5,Underground,1.68,2.12,19.5,47.2,1.42,48,41.5,23.5,12.2,11.3,2.6,2.4,2.1,0.35,16.5,6.2,0.52,0.72,0.52,5.5,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
OC-Q1,Opencast,2.15,2.75,14.2,38.5,1.15,28,36.2,20.4,11.5,8.9,1.8,3.1,2.5,0.45,14.8,5.4,0.75,0.65,0.81,8.2,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
OC-Q2,Opencast,2.3,2.9,11.5,34.0,1.02,22,33.8,19.1,11.2,7.9,1.4,3.5,2.8,0.72,15.2,6.8,1.45,0.58,1.46,12.5,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
OC-Q3,Opencast,2.85,3.4,7.8,24.5,0.78,14,27.5,15.6,9.8,5.8,0.85,4.1,3.9,0.58,12.0,4.5,0.92,0.45,1.09,14.2,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
OC-Q4,Opencast,1.65,2.15,19.5,46.5,1.38,42,43.5,24.2,12.5,11.7,2.5,2.2,1.8,0.38,16.8,6.1,0.55,0.7,0.56,6.8,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
OC-Q5,Opencast,3.45,4.1,3.8,18.2,0.54,8,23.4,13.2,9.2,4.0,0.38,4.8,4.5,0.65,10.5,3.9,1.15,0.38,1.48,16.5,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
REF-Q1,Reference,0.95,1.3,52.0,72.5,2.25,95,58.5,34.0,15.5,18.5,7.2,1.0,1.0,0.16,24.5,9.8,0.22,1.25,0.16,2.1,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
REF-Q2,Reference,0.88,1.22,58.5,76.0,2.38,105,61.2,35.8,16.2,19.6,8.1,1.0,1.0,0.14,26.2,10.5,0.19,1.35,0.14,1.8,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
REF-Q3,Reference,1.05,1.42,46.5,68.0,2.1,85,55.4,32.1,14.8,17.3,6.5,1.1,1.0,0.18,22.8,9.1,0.25,1.18,0.19,2.4,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
REF-Q4,Reference,0.98,1.35,50.5,71.0,2.18,90,57.0,33.2,15.2,18.0,7.0,1.0,1.0,0.15,23.9,9.5,0.21,1.22,0.16,2.0,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
REF-Q5,Reference,0.92,1.28,54.0,73.5,2.28,98,59.2,34.5,15.8,18.7,7.6,1.0,1.0,0.17,25.1,10.1,0.2,1.28,0.15,2.2,SOIL_PHYSICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard methods ASTM D3385/Page 1982; do not report as measured lab results)
