Ecological_Variable,Reference_Mean,Underground_Mean,Opencast_Mean,UG_Log_Response_Ratio,OC_Log_Response_Ratio,UG_Recovery_Relative_to_Reference_pct,OC_Recovery_Relative_to_Reference_pct,Kruskal_Wallis_H,P_Value,Significance,Provenance_Governance_Flag
Soil Organic Carbon (SOC %),2.07,1.41,1.49,-0.389,-0.333,67.8,71.6,14.0,< 0.001,***,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Microbial Biomass Carbon (MBC ug/g),463.4,250.3,128.4,-0.616,-1.283,54.0,27.7,12.5,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Dehydrogenase Activity (DHA ug/g/24h),48.7,26.4,13.34,-0.612,-1.295,54.2,27.4,12.5,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Acid Phosphatase (ug/g/h),244.6,143.0,80.2,-0.537,-1.115,58.5,32.8,12.5,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
AMF Mycorrhizal Colonization (%),68.0,42.1,21.4,-0.479,-1.156,61.9,31.5,12.5,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Earthworm Density (ind/m2),42.0,16.4,4.0,-0.94,-2.351,39.0,9.5,12.52,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Soil Infiltration Rate (mm/h),52.3,27.1,11.36,-0.657,-1.527,51.8,21.7,12.28,0.0022,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Water Stable Aggregates (%),72.2,53.54,32.34,-0.299,-0.803,74.2,44.8,12.5,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Plant Available Water (PAWC %),18.42,13.0,7.66,-0.348,-0.877,70.6,41.6,12.02,0.0025,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Soil Compaction / Penetration Res (MPa),0.96,1.48,2.48,0.438,0.953,155.0,259.4,12.02,0.0025,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Basal Area (m2/ha),33.3,18.16,13.76,-0.606,-0.884,54.5,41.3,12.02,0.0025,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Canopy Cover (%),80.6,56.8,35.6,-0.35,-0.817,70.5,44.2,12.5,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Sapling Density (stems/100m2),17.4,5.6,2.2,-1.134,-2.068,32.2,12.6,10.86,0.0044,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Litter Biomass (g/m2),666.0,385.0,221.0,-0.548,-1.103,57.8,33.2,12.5,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Plant Shannon Diversity (H'),3.39,2.36,1.73,-0.362,-0.673,69.6,51.0,12.5,0.0019,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Native-to-Invasive Ratio,44.2,3.72,1.82,-2.475,-3.192,8.4,4.1,10.82,0.0045,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Summer Base NDVI,0.61,0.38,0.3,-0.476,-0.706,62.1,49.4,10.22,0.0060,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Summer Land Surface Temp (LST °C),29.98,35.6,42.82,0.172,0.356,118.7,142.8,11.18,0.0037,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Butterfly Species Richness,27.4,14.2,8.6,-0.657,-1.159,51.8,31.4,11.4,0.0034,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
Forest Specialist Butterflies (%),72.4,39.4,13.4,-0.608,-1.687,54.4,18.5,12.02,0.0025,**,PROPOSED_RECOVERY_METRIC_FRAMEWORK (Mathematical formulation RR = ln(Mine/Ref); template for post-survey data analysis)
