Quadrat_ID,Mining_Type,Baseline_Summer_NDVI,Peak_Monsoon_NDVI,Post_Monsoon_Winter_NDVI,Seasonal_Amplitude_Delta_NDVI,Winter_to_Monsoon_Ratio,Multi_Year_Mean_EVI,Multi_Year_Mean_SAVI,Summer_NDMI_Moisture_Stress,Monsoon_NDMI,Winter_NDMI,NDRE_Chlorophyll_Index,Summer_LST_degC,Monsoon_LST_degC,Winter_LST_degC,Phenological_Trajectory,Provenance_Governance_Flag
UG-Q1,Underground,0.3169,0.5187,0.5776,0.2018,1.1136,0.385,0.342,-0.045,0.265,0.145,0.285,36.8,28.5,26.2,Woody Overstory Canopy with Winter-Flowering Flush; Stable Moisture Buffering,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
UG-Q2,Underground,0.3819,0.5943,0.5354,0.2124,0.9009,0.415,0.375,-0.015,0.298,0.168,0.31,35.5,28.0,25.8,Dense Mature Overstory; Moderate Deciduous Senescence; Resilient Woody Phenology,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
UG-Q3,Underground,0.4777,0.5526,0.4647,0.0748,0.8409,0.462,0.418,0.065,0.345,0.212,0.355,33.2,27.2,24.5,Shorea robusta Closed Canopy; Minimal Seasonal Fluctuation (Lowest Amplitude = 0.075); High Thermal Buffering,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
UG-Q4,Underground,0.4656,0.6267,0.5771,0.1611,0.9208,0.448,0.405,0.042,0.32,0.195,0.338,34.0,27.5,25.0,Massive Ficus/Diospyros Crowns; Stable Evergreen/Brevi-deciduous Phenology; High Water Retention,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
UG-Q5,Underground,0.2648,0.457,0.3988,0.1922,0.8727,0.32,0.285,-0.095,0.215,0.098,0.245,38.5,29.2,27.0,Open Canopy Deciduous Woodland; Edge Grazing and Disturbance Inducing Understory Seasonality,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
OC-Q1,Opencast,0.4576,0.6378,0.579,0.1802,0.9078,0.435,0.392,0.028,0.312,0.182,0.325,37.2,28.8,26.5,Eucalyptus/Gmelina Plantation; High Evergreen Vigor; Persistent Canopy Shade Reducing Thermal Extremes,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
OC-Q2,Opencast,0.2386,0.3665,0.4136,0.1279,1.1285,0.285,0.252,0.085,0.245,0.198,0.21,41.5,29.8,27.8,Mine Sump Seepage Line; Constant Moisture Supporting Carissa/Ficus; High Winter Ratio; Chlorosis Depresses Peak NDVI,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
OC-Q3,Opencast,0.1894,0.3474,0.2875,0.158,0.8274,0.215,0.188,-0.185,0.128,-0.012,0.165,46.8,31.5,29.2,Rocky Overburden Spoil; Severe Soil Background Contamination; Low Overall Greenness; Stunted Growth,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
OC-Q4,Opencast,0.4159,0.6666,0.6703,0.2507,1.0055,0.458,0.415,0.012,0.342,0.245,0.348,36.2,28.2,25.8,Stable Holarrhena Thicket; High Winter Retention (Ratio 1.005); Successful Reclamation Structural Canopy,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
OC-Q5,Opencast,0.2137,0.4992,0.4696,0.2854,0.9407,0.295,0.245,-0.225,0.21,0.045,0.22,52.4,32.0,30.5,Severe Ephemeral Weed Flush; Highest Amplitude (0.2854); Extreme Thermal Stress (Summer LST 52.4°C); Rapid Winter Collapse,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
REF-Q1,Reference,0.6215,0.842,0.765,0.2205,0.9086,0.585,0.535,0.224,0.495,0.362,0.465,29.8,25.4,22.8,Intact Climax Sal Forest; Deep Continuous Foliage; Strong Moisture Buffering; Complete Canopy Stability,CONTINUOUS_PHENOMETRIC_MODEL_SPECIFICATION (Conceptual phenological curve; real audited 6-date Sentinel-2 extractions reside in data/07)
