Quadrat_ID,Mining_Type,Tree_Density_stems_ha,Basal_Area_m2_ha,Mean_DBH_cm,Max_DBH_cm,Canopy_Cover_pct,Tree_Height_m,Shrub_Density_stems_ha,Shrub_Cover_pct,Sapling_Density_100m2,Seedling_Density_100m2,Seedling_to_Adult_Ratio,Peak_Herb_Biomass_g_m2,Litter_Biomass_g_m2,Bare_Ground_Cover_pct,Rock_Gravel_Cover_pct,Litter_Cover_pct,Herb_Cover_pct,Shannon_H_Overstory,Simpson_D_Overstory,Pielou_J_Overstory,Shannon_H_Total_Flora,Simpson_D_Total_Flora,Native_to_Invasive_Cover_Ratio,Woody_to_Herb_Cover_Ratio,Dominant_Taxon_1_IVI,Dominant_Taxon_2_IVI,Provenance_Governance_Flag
UG-Q1,Underground,600,18.5,19.8,38.5,58.0,12.4,450,18.0,6,14,2.33,142.0,385.0,18.5,6.5,62.0,28.0,1.56,0.77,0.97,2.45,0.88,3.8,2.7,Terminalia elliptica (84.5),Vachellia nilotica (62.3),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
UG-Q2,Underground,400,16.2,22.5,42.0,52.0,11.8,350,14.0,4,10,2.5,118.0,360.0,22.0,8.0,58.0,22.0,1.04,0.63,0.95,2.18,0.84,3.2,3.0,Wrightia tinctoria (112.4),Azadirachta indica (94.2),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
UG-Q3,Underground,600,21.8,21.2,48.0,68.0,14.5,620,24.0,9,22,3.67,165.0,445.0,12.0,5.0,74.0,32.0,1.33,0.72,0.96,2.62,0.91,5.4,2.9,Shorea robusta (138.2),Ficus virens (72.5),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
UG-Q4,Underground,400,17.5,23.4,52.0,56.0,13.2,400,16.0,5,12,3.0,130.0,395.0,19.0,7.0,65.0,25.0,1.04,0.63,0.95,2.25,0.86,4.1,2.9,Diospyros melanoxylon (105.8),Mangifera indica (88.4),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
UG-Q5,Underground,500,16.8,20.5,39.0,50.0,12.0,380,15.0,4,11,2.2,185.0,340.0,24.0,9.0,54.0,38.0,1.33,0.72,0.96,2.3,0.85,2.1,1.7,Terminalia tomentosa (98.6),Alstonia scholaris (76.4),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
OC-Q1,Opencast,800,14.5,15.2,28.0,42.0,13.8,250,8.0,2,5,0.63,95.0,280.0,36.0,18.0,42.0,22.0,1.04,0.63,0.95,1.75,0.74,1.4,2.3,Eucalyptus tereticornis (134.5),Gmelina arborea (98.2),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
OC-Q2,Opencast,400,15.8,21.8,46.0,38.0,10.5,300,12.0,1,3,0.75,110.0,240.0,42.0,22.0,34.0,24.0,1.33,0.72,0.96,1.88,0.78,1.8,2.1,Ficus benghalensis (122.0),Carissa carandas (86.5),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
OC-Q3,Opencast,700,11.2,14.1,26.0,28.0,8.5,180,6.0,1,2,0.29,72.0,165.0,48.0,35.0,22.0,16.0,1.04,0.63,0.95,1.52,0.68,1.2,2.3,Pongamia pinnata (142.8),Diospyros melanoxylon (82.1),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
OC-Q4,Opencast,800,16.5,16.0,32.0,48.0,11.2,850,38.0,7,18,2.25,155.0,325.0,25.0,14.0,52.0,30.0,1.04,0.63,0.95,2.15,0.84,4.5,2.9,Holarrhena pubescens (156.4),Mangifera indica (65.8),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
OC-Q5,Opencast,600,10.8,14.8,25.0,22.0,7.8,120,4.0,0,1,0.17,265.0,95.0,62.0,42.0,12.0,54.0,1.04,0.63,0.95,1.35,0.58,0.18,0.48,Parthenium hysterophorus (162.0),Senna tora (94.5),STAND_STRUCTURE_FIELD_AUDIT_TEMPLATE (Proposed protocol for nested sub-quadrats; do not cite as measured ground biomass)
