Quadrat_ID,Mining_Type,MBC_ug_g,MBN_ug_g,Microbial_Quotient_MBC_SOC_pct,Basal_Respiration_ug_CO2_C_g_day,Metabolic_Quotient_qCO2,Dehydrogenase_DHA_ug_TPF_g_24h,Acid_Phosphatase_ug_PNP_g_h,Alkaline_Phosphatase_ug_PNP_g_h,Urease_ug_NH4_N_g_2h,Beta_Glucosidase_ug_PNP_g_h,AMF_Root_Colonization_pct,Earthworm_Abundance_ind_m2,Earthworm_Biomass_g_m2,Particulate_Organic_Carbon_POC_g_kg,Mineral_Assoc_Organic_Carbon_MAOC_g_kg,Provenance_Governance_Flag
UG-Q1,Underground,248.5,28.4,1.94,8.45,34.0,26.5,142.0,95.0,44.5,58.2,42.5,16.0,8.2,3.8,9.0,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
UG-Q2,Underground,225.0,25.8,1.44,7.9,35.1,24.0,135.0,88.0,41.2,54.0,38.0,14.0,7.1,3.5,12.1,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
UG-Q3,Underground,310.0,36.2,2.12,9.8,31.6,32.5,168.0,110.0,52.8,68.5,51.0,22.0,11.5,4.6,10.0,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
UG-Q4,Underground,260.0,29.5,1.93,8.6,33.1,27.2,146.0,98.0,46.0,60.1,44.0,18.0,9.0,3.9,9.6,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
UG-Q5,Underground,208.0,23.4,1.51,7.45,35.8,21.8,124.0,82.0,38.5,48.5,35.0,12.0,5.8,3.2,10.6,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
OC-Q1,Opencast,165.0,17.5,1.17,7.1,43.0,16.5,98.0,74.0,28.5,36.2,28.0,6.0,2.8,2.4,11.7,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
OC-Q2,Opencast,132.0,14.0,0.86,6.8,51.5,14.0,85.0,68.0,24.0,30.5,22.0,4.0,1.9,1.8,13.6,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
OC-Q3,Opencast,85.0,8.5,0.6,5.4,63.5,9.2,58.0,52.0,16.5,19.8,15.0,0.0,0.0,1.1,13.1,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
OC-Q4,Opencast,198.0,21.5,1.32,7.6,38.4,20.5,118.0,86.0,34.0,44.0,34.0,10.0,4.8,3.1,11.9,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
OC-Q5,Opencast,62.0,5.8,0.4,4.8,77.4,6.5,42.0,45.0,11.2,14.5,8.0,0.0,0.0,0.8,14.8,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
REF-Q1,Reference,465.0,54.0,2.38,12.8,27.5,48.5,245.0,145.0,78.0,98.5,68.0,42.0,24.5,7.2,12.3,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
REF-Q2,Reference,512.0,61.5,2.44,13.9,27.1,54.0,268.0,158.0,84.5,108.0,74.0,48.0,28.2,8.1,12.9,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
REF-Q3,Reference,415.0,48.0,2.41,11.5,27.7,44.0,220.0,132.0,70.0,89.0,62.0,36.0,20.8,6.4,10.8,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
REF-Q4,Reference,450.0,52.0,2.39,12.4,27.6,47.0,238.0,140.0,75.0,95.0,66.0,40.0,23.0,6.9,11.9,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
REF-Q5,Reference,475.0,56.0,2.47,13.0,27.4,50.0,252.0,148.0,80.0,102.0,70.0,44.0,25.5,7.4,11.8,SOIL_BIOLOGICAL_LABORATORY_ANALYSIS_TEMPLATE (Standard CFE/Tabatabai methods; do not report as measured lab results)
