Quadrat_ID,Mining_type,Latitude,Longitude,Elevation_m,Colliery_Sector,Verified_Overstory_Stems,Verified_Tree_Species_Richness,Dominant_Tree_Taxa,AGB_t_ha,Carbon_Stock_tC_ha,In_Plot_Woody_Shrub_Status,Field_Plate_Understory_Observation
UG-Q1,Underground,22.422136,82.586519,315.28,Banki / Balgi Colliery,6,5,"Ziziphus mauritiana, Vachellia nilotica",42.6,25.23,Measured in-plot woody shrub/small tree present,Mature tree architecture (Terminalia/Vachellia) near colliery infrastructure; exposed ground with dry litter and scanty vegetation.
UG-Q2,Underground,22.404199,82.633904,295.1,Surakachhar / Dhelwadih,4,3,"Wrightia tinctoria, Azadirachta indica",38.75,22.95,No measured shrub stem >=10cm GBH,Mature Wrightia & Azadirachta; dry litter with scattered understory growth; intact foliage condition; moderate canopy spacing.
UG-Q3,Underground,22.413226,82.630137,283.86,Surakachhar / Dhelwadih,6,4,"Shorea robusta, Ficus virens",45.1,26.71,Measured in-plot woody shrub/small tree present,Dense Shorea robusta (Sal) canopy; conspicuous understory vegetation with regenerating saplings and shrubs; high forest density.
UG-Q4,Underground,22.395806,82.604232,305.95,Banki / Balgi Colliery,4,3,"Diospyros melanoxylon, Mangifera indica",40.8,24.16,No measured shrub stem >=10cm GBH,Dominant mature Ficus & Mangifera; massive trunk girths; forest floor with dry litter accumulation and bare soil patches.
UG-Q5,Underground,22.430608,82.581408,313.58,Banki / Balgi Colliery,5,4,"Terminalia tomentosa, Alstonia scholaris",39.95,23.66,Measured in-plot woody shrub/small tree present,Moderate canopy density with broad leaves (Terminalia/Alstonia); dark bark patches; dry litter and poor understory growth.
OC-Q1,Opencast,22.356579,82.57891,298.5,Gevra / Dipka Opencast Project,8,3,"Gmelina arborea, Eucalyptus tereticornis",28.4,16.81,No measured shrub stem >=10cm GBH,Reclamation plantation with Eucalyptus & Gmelina; open broken canopy; dry leaf litter with sparse saplings; heavy overburden impact.
OC-Q2,Opencast,22.358327,82.580214,302.1,Gevra / Dipka Opencast Project,4,4,"Ficus benghalensis, Carissa carandas",31.2,18.48,Measured in-plot woody shrub/small tree present,Adjacent to mine water drainage sump; mature Ficus & Carissa carandas; dry soil with limited herbaceous ground layer; localized foliar chlorosis.
OC-Q3,Opencast,22.359611,82.582041,304.4,Gevra / Dipka Opencast Project,7,3,"Pongamia pinnata, Diospyros melanoxylon",26.75,15.84,No measured shrub stem >=10cm GBH,Planted Pongamia stand with mature Diospyros; woody climber (Bauhinia vahlii) on boles; bare rocky spoil patches with dry litter.
OC-Q4,Opencast,22.361084,82.584993,307.8,Gevra / Dipka Opencast Project,8,3,"Holarrhena antidysenterica, Mangifera indica",29.85,17.67,Measured in-plot woody shrub/small tree present,Semi-open canopy dominated by 5 Holarrhena stems; dry leaf litter and bare compacted soil patches; disturbed opencast perimeter.
OC-Q5,Opencast,22.36279,82.587521,310.2,Gevra / Dipka Opencast Project,6,3,"Tamarindus indica, Ficus racemosa",27.9,16.52,No measured shrub stem >=10cm GBH,Multi-stemmed tree growth with Tamarindus & Mangifera; compound leaf foliage; anthropogenic debris and disturbed ground layer.
