Site_ID,Landscape_Class,Site_Name,Colliery_Operator,Latitude,Longitude,Elevation_m,Spatial_Extent_ha,Commission_Year,Mining_Status,Mining_Method,Restoration_History,Geological_Formation,Soil_Type,Dominant_Vegetation,Landscape_Context
UG-SITE-01,Underground Mining,Banki Colliery (Incline No. 3 Lease),SECL Korba Area,22.422136,82.586519,315.3,65.0,1968,Active subsurface; surface profile intact,Board and Pillar extraction of Semra Seam (depth 120-180 m),Preserved surface woodland above underground workings; native tree retention around mine buildings,Barakar Formation (Sandstone/Shale),Udic Haplustalfs (Sandy clay loam),"Terminalia elliptica, Vachellia nilotica, Ziziphus mauritiana",Semi-urban industrial edge; infrastructure corridors; low grazing
UG-SITE-02,Underground Mining,Balgi Colliery (Shaft Compartment Lease),SECL Korba Area,22.395806,82.604232,306.0,58.0,1974,Active subsurface extraction; surface secondary woodland,Deep vertical shaft extraction; depillaring with caving,Spontaneous secondary regeneration on surface; minimal surface soil disturbance,Barakar Formation (Feldspathic sandstone),Typic Haplustalfs (Clay loam),"Diospyros melanoxylon, Ficus religiosa, Azadirachta indica",Interface between agricultural fields and colliery colony
UG-SITE-03,Underground Mining,Surakachhar Colliery (East Block Incline),SECL Korba Area,22.404199,82.633904,295.1,82.0,1966,Active subsurface; extensive surface woodland,Room and pillar with hydraulic stowing using river sand,Continuous forest canopy maintained over 50 years; protected lease perimeter,Barakar Formation (Coarse sandstone),Typic Dystrustepts (Loam),"Wrightia tinctoria, Azadirachta indica, Holarrhena pubescens",Riparian buffer along Ahiran river corridor
UG-SITE-04,Underground Mining,Dhelwadih Colliery (Mechanized North Section),SECL Korba Area,22.4312,82.6485,289.0,48.0,1982,Mechanized longwall extraction; protected surface forest,Continuous miner and powered roof support longwall face,Surface designated as safety/environmental greenbelt; zero surface logging,Barakar Formation (Carbonaceous shale interbeds),Ultic Haplustalfs (Sandy clay),"Shorea robusta, Ficus virens, Woodfordia fruticosa",Dense Sal forest patch contiguous with reserve forest
UG-SITE-05,Underground Mining,Singhali / Bagdeva Colliery (North Sector),SECL Korba Area,22.4612,82.5921,318.5,70.0,1978,Active underground incline; undulating surface terrain,Intermediate depth bord and pillar workings,Naturally regenerating mixed deciduous scrub; low human transit,Barakar / Raniganj transition,Typic Ustorthents (Eroded sandy loam),"Terminalia tomentosa, Alstonia scholaris, Nyctanthes arbor-tristis",Hilly terrain; natural drainage gullies
OC-SITE-01,Opencast Mining,Gevra Opencast Project (External Dump No. 4),SECL Gevra Area,22.356579,82.57891,298.5,145.0,1981,Technically reclaimed overburden dump (12-15 yr old),Surface shovel-dumper extraction; external dump terracing,Topsoiled with 10 cm subsoil; planted with Eucalyptus and Gmelina; contour bunds,Overburden Spoil (Crushed sandstone/shale),Spolic Technosol (Compacted),"Eucalyptus tereticornis, Gmelina arborea, Dalbergia sissoo",Massive terraced dump; exposed windward slopes
OC-SITE-02,Opencast Mining,Dipka Opencast Project (West Overburden Complex),SECL Dipka Area,22.3182,82.5345,305.0,125.0,1988,Operational pit perimeter; southwest overburden dump slope,Deep open cut with dragline and surface miner extraction,Technical reclamation on lower benches; riprap drainage; spontaneous scrub,Overburden Spoil with alluvial silt deposits,Spolic Technosol (Hydric fringe),"Ficus benghalensis, Carissa carandas, Cynodon dactylon",SW overburden slope; 6.2 km from Gevra Dump 4
OC-SITE-03,Opencast Mining,Kusmunda Opencast Project (North Overburden Dump),SECL Kusmunda Area,22.3245,82.6812,308.4,160.0,1979,Reclaimed overburden dump (8-10 yr plantation),Open pit multi-bench extraction; dump slope stabilization,Reclaimed with Pongamia pinnata and Acacia mangium; rock riprap; no topsoil,Coarse Sandstone Boulder Overburden,Skeletic Technosol (>45% rock fragments),"Pongamia pinnata, Cassia siamea, Heteropogon contortus",Rocky skeletal slope; 11.1 km east of Gevra
OC-SITE-04,Opencast Mining,Manikpur Opencast Mine (Exhausted Void Plantation),SECL Korba Area,22.3312,82.7215,292.0,95.0,1966,Partially exhausted opencast mine; old reclamation (>20 yr),Historic open pit mining; backfilled void stabilization,Long-term forestry reclamation; mixed native species; established leaf litter,Weathered Overburden and Fly Ash Amendments,Haplic Technosol (Weathered),"Albizia procera, Dalbergia sissoo, Butea monosperma",Older landscape; 15.0 km east of Gevra
OC-SITE-05,Opencast Mining,Saraipali Opencast Project (Northeast Concession),SECL Korba Area,22.385,82.752,314.0,85.0,2004,Active opencast concession; raw overburden and active spoil banks,Modern surface bench extraction with mobile crushers,Unreclaimed raw spoil flanks; early spontaneous weed colonization; high compaction,Raw Sandstone/Carbonaceous Shale Overburden,Raw Technosol (Compacted),"Parthenium hysterophorus, Senna tora, Calotropis procera",Active mining flank; 18.2 km from Gevra Dump 4
