,UG-SITE-01,UG-SITE-02,UG-SITE-03,UG-SITE-04,UG-SITE-05,OC-SITE-01,OC-SITE-02,OC-SITE-03,OC-SITE-04,OC-SITE-05,REF-SITE-01,REF-SITE-02,REF-SITE-03,REF-SITE-04,REF-SITE-05
UG-SITE-01,0.0,3.45,5.26,6.45,4.38,7.33,12.73,14.58,17.17,17.51,11.6,18.46,22.02,6.27,23.49
UG-SITE-02,3.45,0.0,3.19,6.02,7.38,5.08,11.22,11.2,14.04,15.24,15.03,20.94,22.99,9.66,21.96
UG-SITE-03,5.26,3.19,0.0,3.36,7.66,7.75,14.0,10.11,12.13,12.33,16.36,19.77,26.17,11.32,18.8
UG-SITE-04,6.45,6.02,3.36,0.0,6.69,10.96,17.18,12.33,13.42,11.81,15.72,16.83,28.38,11.35,17.12
UG-SITE-05,4.38,7.38,7.66,6.69,0.0,11.71,16.97,17.75,19.65,18.49,9.04,14.14,24.35,5.04,23.2
OC-SITE-01,7.33,5.08,7.75,10.96,11.71,0.0,6.25,11.11,14.93,18.08,17.65,25.72,19.94,12.27,25.54
OC-SITE-02,12.73,11.22,14.0,17.18,16.97,6.25,0.0,15.11,19.29,23.57,20.84,31.1,15.91,15.99,31.32
OC-SITE-03,14.58,11.2,10.11,12.33,17.75,11.11,15.11,0.0,4.21,9.91,26.16,29.02,30.65,20.85,17.94
OC-SITE-04,17.17,14.04,12.13,13.42,19.65,14.93,19.29,4.21,0.0,6.75,28.48,29.27,34.71,23.39,14.43
OC-SITE-05,17.51,15.24,12.33,11.81,18.49,18.08,23.57,9.91,6.75,0.0,27.5,24.99,37.88,23.11,8.05
REF-SITE-01,11.6,15.03,16.36,15.72,9.04,17.65,20.84,26.16,28.48,27.5,0.0,14.75,21.57,5.45,31.7
REF-SITE-02,18.46,20.94,19.77,16.83,14.14,25.72,31.1,29.02,29.27,24.99,14.75,0.0,36.01,16.36,25.2
REF-SITE-03,22.02,22.99,26.17,28.38,24.35,19.94,15.91,30.65,34.71,37.88,21.57,36.01,0.0,20.13,44.95
REF-SITE-04,6.27,9.66,11.32,11.35,5.04,12.27,15.99,20.85,23.39,23.11,5.45,16.36,20.13,0.0,28.2
REF-SITE-05,23.49,21.96,18.8,17.12,23.2,25.54,31.32,17.94,14.43,8.05,31.7,25.2,44.95,28.2,0.0
