S_No,Scientific_name,Family,Mining_area
1,Alstonia scholaris,Apocynaceae,UG
2,Azadirachta indica,Meliaceae,UG
3,Bauhinia vahlii,Fabaceae,OC
4,Butea monosperma,Fabaceae,OC
5,Carissa carandas,Apocynaceae,OC
6,Diospyros melanoxylon,Ebenaceae,OC and UG
7,Eucalyptus tereticornis,Myrtaceae,OC
8,Ficus benghalensis,Moraceae,OC
9,Ficus racemosa,Moraceae,OC
10,Ficus religiosa,Moraceae,UG
11,Ficus virens,Moraceae,UG
12,Gmelina arborea,Lamiaceae,OC
13,Holarrhena antidysenterica,Apocynaceae,OC
14,Madhuca longifolia,Sapotaceae,UG
15,Mangifera indica,Anacardiaceae,OC and UG
16,Millingtonia hortensis,Bignoniaceae,OC
17,Pongamia pinnata,Fabaceae,OC
18,Shorea robusta,Dipterocarpaceae,UG
19,Tamarindus indica,Fabaceae,OC and UG
20,Terminalia elliptica,Combretaceae,UG
21,Terminalia tomentosa,Combretaceae,UG
22,Vachellia nilotica,Fabaceae,UG
23,Wrightia tinctoria,Apocynaceae,UG
24,Ziziphus mauritiana,Rhamnaceae,UG
25,Lantana camara,Verbenaceae,OC and UG
26,Woodfordia fruticosa,Lythraceae,OC and UG
27,Calotropis procera,Apocynaceae,OC
28,Nyctanthes arbor-tristis,Oleaceae,OC and UG
29,Nerium oleander,Apocynaceae,OC
30,Chromolaena odorata,Asteraceae,OC and UG
31,Evolvulus nummularius,Convolvulaceae,OC and UG
32,Cynodon dactylon,Poaceae,OC and UG
33,Heteropogon contortus,Poaceae,OC and UG
