S_No,Scientific_name,Family,Mining_area
1,Alstonia scholaris,Apocynaceae,UG
2,Azadirachta indica,Meliaceae,UG
3,Bauhinia vahlii,Fabaceae,OC
4,Butea monosperma,Fabaceae,OC
5,Carissa carandas,Apocynaceae,OC
6,Diospyros melanoxylon,Ebenaceae,OC and UG
7,Eucalyptus tereticornis,Myrtaceae,OC
8,Ficus benghalensis,Moraceae,OC
9,Ficus racemosa,Moraceae,OC
10,Ficus religiosa,Moraceae,UG
11,Ficus virens,Moraceae,UG
12,Gmelina arborea,Lamiaceae,OC
13,Holarrhena antidysenterica,Apocynaceae,OC
14,Madhuca longifolia,Sapotaceae,UG
15,Mangifera indica,Anacardiaceae,OC and UG
16,Millingtonia hortensis,Bignoniaceae,OC
17,Pongamia pinnata,Fabaceae,OC
18,Shorea robusta,Dipterocarpaceae,UG
19,Tamarindus indica,Fabaceae,OC and UG
20,Terminalia elliptica,Combretaceae,UG
21,Terminalia tomentosa,Combretaceae,UG
22,Tectona grandis,Lamiaceae,OC & UG
23,Vachellia nilotica,Fabaceae,UG
24,Wrightia tinctoria,Apocynaceae,UG
25,Ziziphus mauritiana,Rhamnaceae,UG
26,Lantana camara,Verbenaceae,OC and UG
27,Woodfordia fruticosa,Lythraceae,OC and UG
28,Calotropis procera,Apocynaceae,OC
29,Nyctanthes arbor-tristis,Oleaceae,OC and UG
30,Nerium oleander,Apocynaceae,OC
31,Parthenium hysterophorus,Asteraceae,OC and UG
32,Senna tora,Fabaceae,OC and UG
33,Hyptis suaveolens,Lamiaceae,OC and UG
34,Chromolaena odorata,Asteraceae,OC and UG
35,Ageratum conyzoides,Asteraceae,OC and UG
36,Euphorbia hirta,Euphorbiaceae,OC and UG
37,Phyllanthus niruri,Phyllanthaceae,OC and UG
38,Evolvulus nummularius,Convolvulaceae,OC and UG
39,Cynodon dactylon,Poaceae,OC and UG
40,Heteropogon contortus,Poaceae,OC and UG
41,Diplazium esculentum,Athyriaceae,OC
42,Acalypha indica,Euphorbiaceae,OC and UG
