S_No,Scientific_name,Family,Mining_area,Summer_Status,Monsoon_Status,Winter_Status
1,Alstonia scholaris,Apocynaceae,UG,Present (Foliated),Present (Active vegetative flush),Present (Flowering / Foliated)
2,Azadirachta indica,Meliaceae,UG,Present (Flowering / Leaf flush),Present (Lush canopy),Present (Mature canopy)
3,Bauhinia vahlii,Fabaceae,OC,Present (Woody stems / Late flush),Present (Lush foliar cover),Present (Pods / Persistent leaves)
4,Butea monosperma,Fabaceae,OC,Present (Flowering / Early flush),Present (Dense foliar canopy),Present (Mature canopy)
5,Carissa carandas,Apocynaceae,OC,Present (Evergreen / Bloom),Present (Fruiting / Lush),Present (Dense evergreen canopy)
6,Diospyros melanoxylon,Ebenaceae,OC and UG,Present (Leaf drop / Fresh flush),Present (Dense coriaceous canopy),Present (Mature leaves)
7,Eucalyptus tereticornis,Myrtaceae,OC,Present (Evergreen canopy),Present (Active vegetative flush),Present (Evergreen canopy)
8,Ficus benghalensis,Moraceae,OC,Present (Dense evergreen),Present (Lush crown),Present (Dense evergreen)
9,Ficus racemosa,Moraceae,OC,Present (Trunk cauliflory / Brief drop),Present (Lush canopy),Present (Persistent canopy)
10,Ficus religiosa,Moraceae,UG,Present (Bronze leaf flush),Present (Dense foliage),Present (Persistent canopy)
11,Ficus virens,Moraceae,UG,Present (Spring leaf flush),Present (Lush canopy),Present (Persistent canopy)
12,Gmelina arborea,Lamiaceae,OC,Present (Flowering / Flush),Present (Dense broad leaves),Present (Senescing late winter)
13,Holarrhena antidysenterica,Apocynaceae,OC,Present (White flowers / Early flush),Present (Dense leafy thicket),Present (Paired pods / Foliated)
14,Madhuca longifolia,Sapotaceae,UG,Present (Corolla fall / Coppery flush),Present (Dense canopy),Present (Mature canopy)
15,Mangifera indica,Anacardiaceae,OC and UG,Present (Fruiting / Evergreen),Present (Active vegetative flush),Present (Dense evergreen)
16,Millingtonia hortensis,Bignoniaceae,OC,Present (Foliated),Present (Lush growth),Present (Fragrant white flowers)
17,Pongamia pinnata,Fabaceae,OC,Present (Bright flush / Bloom),Present (Dense shade canopy),Present (Mature leaves / Pods)
18,Shorea robusta,Dipterocarpaceae,UG,Present (Emerald flush / Bloom),Present (Dense closed canopy),Present (Dense coriaceous canopy)
19,Tamarindus indica,Fabaceae,OC and UG,Present (Feathery evergreen),Present (Lush canopy),Present (Dense evergreen)
20,Terminalia elliptica,Combretaceae,UG,Present (Leafless / Late flush),Present (Broadleaved canopy),Present (Yellowing / Senescing)
21,Terminalia tomentosa,Combretaceae,UG,Present (Leafless / Late flush),Present (Dense canopy),Present (Yellowing / Senescing)
22,Tectona grandis,Lamiaceae,OC & UG,Leafless (Deciduous dormancy),Present (Massive leafy canopy),Present (Skeletonizing / Drying)
23,Vachellia nilotica,Fabaceae,UG,Present (Yellow bloom / Flush),Present (Active foliar growth),Present (Pods / Persistent)
24,Wrightia tinctoria,Apocynaceae,UG,Present (White bloom / Flush),Present (Dense subcanopy),Present (Pendulous follicles)
25,Ziziphus mauritiana,Rhamnaceae,UG,Present (Drought-tolerant / Stunted),Present (Thorny vegetative growth),Present (Fruiting / Foliated)
