Quadrat_ID,Mining_type,Season,Observations_Available,Observations_Retained,Mean_Valid_Terrestrial_Fraction_Pct
OC-Q1,Opencast,Monsoon,2,2,100.0
OC-Q1,Opencast,Summer,2,2,81.0
OC-Q1,Opencast,Winter,2,2,100.0
OC-Q2,Opencast,Monsoon,2,2,100.0
OC-Q2,Opencast,Summer,2,2,100.0
OC-Q2,Opencast,Winter,2,2,100.0
OC-Q3,Opencast,Monsoon,2,2,100.0
OC-Q3,Opencast,Summer,2,2,100.0
OC-Q3,Opencast,Winter,2,2,100.0
OC-Q4,Opencast,Monsoon,2,2,100.0
OC-Q4,Opencast,Summer,2,2,100.0
OC-Q4,Opencast,Winter,2,2,100.0
OC-Q5,Opencast,Monsoon,2,2,100.0
OC-Q5,Opencast,Summer,2,2,100.0
OC-Q5,Opencast,Winter,2,2,100.0
UG-Q1,Underground,Monsoon,2,2,100.0
UG-Q1,Underground,Summer,2,2,100.0
UG-Q1,Underground,Winter,2,2,100.0
UG-Q2,Underground,Monsoon,2,2,100.0
UG-Q2,Underground,Summer,2,2,100.0
UG-Q2,Underground,Winter,2,2,100.0
UG-Q3,Underground,Monsoon,2,2,93.4
UG-Q3,Underground,Summer,2,2,100.0
UG-Q3,Underground,Winter,2,2,100.0
UG-Q4,Underground,Monsoon,2,2,100.0
UG-Q4,Underground,Summer,2,2,100.0
UG-Q4,Underground,Winter,2,2,100.0
UG-Q5,Underground,Monsoon,2,2,100.0
UG-Q5,Underground,Summer,2,2,100.0
UG-Q5,Underground,Winter,2,2,100.0
