Quadrat_ID,Mining_Type,Summer_NDVI_Exact,Summer_NDVI_Reported,Monsoon_Retreat_NDVI_Exact,Monsoon_Retreat_NDVI_Reported,Winter_NDVI_Exact,Winter_NDVI_Reported,Seasonal_Amplitude_ΔNDVI_Reported,Winter_to_GreenSeason_Ratio_Reported,Descriptive_Syndrome_Rule,Single_Date_vs_Composite_Audit_Note
OC-Q1,Opencast,0.4576,0.458,0.6377999999999999,0.638,0.579,0.579,0.180,0.908,Persistent Greenness Signal,Planted Eucalyptus stand on legacy mine spoil overburden; exhibits relatively high dry-season spectral retention.
OC-Q2,Opencast,0.2385499999999999,0.239,0.36645,0.366,0.41355,0.414,0.128,1.129,Disturbed Transition (Drainage Feature Trajectory),"Depression adjacent to mine water drainage feature; winter composite = 0.414 (mean of Nov 20: 0.374 and Dec 30: 0.453; Dec 30 acquisition = 0.4533). The trajectory is consistent with a possible moisture-related influence near the drainage feature; however, neither soil moisture nor the abundance of wetland vegetation was quantitatively measured."
OC-Q3,Opencast,0.1894,0.189,0.3474,0.347,0.28745,0.287,0.158,0.827,Disturbed Transition (Rocky Spoil),Stony overburden substrate; sparse Millettia pinnata and woody climbers; lowest overall NDVI across all seasons.
OC-Q4,Opencast,0.4159,0.416,0.6666,0.667,0.6703,0.670,0.251,1.006,Persistent Greenness Signal,Revegetated spoil bench with Holarrhena pubescens thicket (5 verified stems); high persistence ratio (1.006).
OC-Q5,Opencast,0.2137,0.214,0.49915,0.499,0.46955,0.470,0.285,0.941,Pronounced Seasonal Flush,"Open-canopy spoil bench; pronounced late-monsoon spectral peak (Oct 6 = 0.749, Amplitude = 0.285) followed by post-monsoon decline."
UG-Q1,Underground,0.3169,0.317,0.5186999999999999,0.519,0.5776,0.578,0.202,1.114,Persistent Greenness Signal,"Shorea robusta stand with Ziziphus mauritiana in understory; high dry-season spectral persistence (winter-to-green-season ratio 1.114). High persistence ratios identify relatively strong dry-season spectral retention, but do not by themselves demonstrate perennial woody cover, rooting depth, or year-round soil stabilization."
UG-Q2,Underground,0.3819,0.382,0.5943,0.594,0.5354,0.535,0.212,0.901,Persistent Greenness Signal,Terminalia elliptica and Shorea robusta canopy; relatively persistent dry-season spectral greenness (ratio 0.901).
UG-Q3,Underground,0.4777,0.478,0.55255,0.553,0.46465,0.465,0.075,0.841,Disturbed Transition (Sal Stand Phenology),Shorea robusta (Sal) stand; low seasonal amplitude (0.075) consistent with spring foliar renewal; winter-to-green-season ratio 0.841.
UG-Q4,Underground,0.4656,0.466,0.6267,0.627,0.5770500000000001,0.577,0.161,0.921,Persistent Greenness Signal,"Mixed woodland (Diospyros melanoxylon, Wrightia tinctoria); high multi-season spectral retention (ratio 0.921)."
UG-Q5,Underground,0.26475,0.265,0.4569499999999999,0.457,0.3988,0.399,0.192,0.873,Disturbed Transition (Thinned Edge Forest),Woodland margin; thinned overstory with Ziziphus mauritiana; ratio 0.873.
