Metric,Internal_Key,UG_Median,UG_IQR,OC_Median,OC_IQR,UG_Mean,UG_SD,OC_Mean,OC_SD,Mann_Whitney_U1_UG,Mann_Whitney_U2_OC,Mann_Whitney_U_smaller,Exact_p_value,Cliffs_Delta,Hedges_g,Approximate_95_CI_Hedges_g,Inference_Caution
NDVI Pre-monsoon Summer,NDVI_Summer,0.382,0.149,0.239,0.202,0.381,0.092,0.303,0.124,19.0,6.0,6.0,0.2222,0.52,0.647,"[-0.849, 2.143]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
NDVI Monsoon & Retreat Green Season,NDVI_Monsoon,0.553,0.076,0.499,0.271,0.55,0.066,0.503,0.148,14.0,11.0,11.0,0.8413,0.12,0.365,"[-1.106, 1.836]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
NDVI Post-monsoon Winter,NDVI_Winter,0.535,0.112,0.47,0.165,0.511,0.078,0.484,0.148,12.0,13.0,12.0,1.0,-0.04,0.204,"[-1.258, 1.667]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
EVI Pre-monsoon Summer,EVI_Summer,0.222,0.066,0.132,0.089,0.226,0.06,0.155,0.052,21.0,4.0,4.0,0.0952,0.68,1.129,"[-0.441, 2.699]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
EVI Monsoon & Retreat Green Season,EVI_Monsoon,0.376,0.064,0.316,0.111,0.359,0.053,0.309,0.075,18.0,7.0,7.0,0.3095,0.44,0.696,"[-0.806, 2.198]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
EVI Post-monsoon Winter,EVI_Winter,0.26,0.102,0.262,0.012,0.273,0.072,0.27,0.074,11.0,14.0,11.0,0.8413,-0.12,0.043,"[-1.416, 1.502]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
NDRE Pre-monsoon Summer,NDRE_Summer,0.174,0.131,0.163,0.134,0.183,0.088,0.16,0.077,15.0,10.0,10.0,0.6905,0.2,0.241,"[-1.223, 1.705]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
NDRE Monsoon & Retreat Green Season,NDRE_Monsoon,0.283,0.098,0.268,0.113,0.298,0.064,0.295,0.106,11.0,14.0,11.0,0.8413,-0.12,0.022,"[-1.436, 1.481]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
NDRE Post-monsoon Winter,NDRE_Winter,0.266,0.126,0.314,0.118,0.249,0.104,0.296,0.124,9.0,16.0,9.0,0.5476,-0.28,-0.373,"[-1.844, 1.098]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
SWIR Ratio Pre-monsoon Summer,SWIR_Ratio_Summer,1.341,0.129,1.284,0.176,1.315,0.086,1.294,0.112,15.0,10.0,10.0,0.6905,0.2,0.192,"[-1.270, 1.653]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
SWIR Ratio Monsoon & Retreat Green Season,SWIR_Ratio_Monsoon,1.51,0.147,1.557,0.478,1.52,0.085,1.523,0.254,12.0,13.0,12.0,1.0,-0.04,-0.016,"[-1.475, 1.442]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
SWIR Ratio Post-monsoon Winter,SWIR_Ratio_Winter,1.582,0.076,1.598,0.667,1.565,0.066,1.632,0.388,12.0,13.0,12.0,1.0,-0.04,-0.217,"[-1.679, 1.246]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
Seasonal NDVI Amplitude (Green Season − Summer),Seasonal_NDVI_Amplitude,0.192,0.041,0.18,0.093,0.168,0.056,0.2,0.066,11.0,14.0,11.0,0.8413,-0.12,-0.474,"[-1.953, 1.004]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
Winter-to-Green-Season Persistence Ratio,Winter_to_Monsoon_Ratio,0.901,0.048,0.941,0.098,0.93,0.107,0.962,0.113,9.0,16.0,9.0,0.5476,-0.28,-0.264,"[-1.729, 1.201]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
Summer-to-Green-Season Retention Ratio,Summer_to_Monsoon_Ratio,0.643,0.132,0.624,0.106,0.688,0.116,0.593,0.111,17.0,8.0,8.0,0.4206,0.36,0.755,"[-0.755, 2.264]","Exploratory quadrat-level contrast (n=5 per group); non-significance reflects low statistical power, not evidence of ecological equivalence."
