Quadrat_ID,Mining_Type,Colliery_Sector,Season,Soil_Moisture_pct,Soil_pH,SOC_pct,Available_N_kg_ha,Available_P_kg_ha,Available_K_kg_ha,Available_S_kg_ha,DTPA_Fe_mg_kg,DTPA_Mn_mg_kg,DTPA_Cu_mg_kg,DTPA_Zn_mg_kg,Available_B_mg_kg,Provenance_Flag
UG-Q1,Underground,Banki / Balgi,Summer,6.5,6.62,0.510,199.8,18.4,155.1,20.4,27.6,23.1,2.46,0.78,0.46,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q1,Underground,Banki / Balgi,Monsoon,22.4,6.27,0.684,286.7,28.1,184.8,28.3,43.1,34.4,3.22,1.18,0.71,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q1,Underground,Banki / Balgi,Winter,12.8,6.47,0.615,239.7,23.6,168.3,25.0,35.2,29.3,2.86,0.97,0.60,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q2,Underground,Surakachhar / Dhelwadih,Summer,6.0,6.25,0.458,182.8,14.8,141.0,17.4,30.4,25.8,2.82,0.72,0.42,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q2,Underground,Surakachhar / Dhelwadih,Monsoon,21.0,5.90,0.614,262.3,22.5,168.0,24.2,47.5,38.4,3.68,1.09,0.63,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q2,Underground,Surakachhar / Dhelwadih,Winter,11.5,6.10,0.551,219.3,18.9,153.0,21.3,38.8,32.8,3.26,0.90,0.54,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q3,Underground,Surakachhar / Dhelwadih,Summer,7.8,6.10,0.634,233.8,23.0,183.3,22.5,33.6,27.9,3.08,0.94,0.52,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q3,Underground,Surakachhar / Dhelwadih,Monsoon,25.6,5.75,0.850,335.5,35.0,218.4,31.3,52.5,41.5,4.02,1.43,0.79,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q3,Underground,Surakachhar / Dhelwadih,Winter,14.5,5.95,0.763,280.5,29.4,198.9,27.6,42.8,35.4,3.57,1.17,0.68,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q4,Underground,Banki / Balgi,Summer,6.8,6.50,0.546,208.2,19.7,164.5,18.7,28.8,24.2,2.55,0.80,0.44,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q4,Underground,Banki / Balgi,Monsoon,23.2,6.15,0.732,298.9,30.0,196.0,26.0,45.0,36.0,3.33,1.22,0.67,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q4,Underground,Banki / Balgi,Winter,13.0,6.35,0.657,249.9,25.2,178.5,22.9,36.7,30.7,2.96,1.00,0.57,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q5,Underground,Banki / Balgi,Summer,5.5,6.35,0.422,174.2,13.5,131.6,15.7,26.0,21.3,2.20,0.67,0.38,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q5,Underground,Banki / Balgi,Monsoon,19.5,6.00,0.566,250.1,20.6,156.8,21.8,40.6,31.7,2.88,1.02,0.59,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
UG-Q5,Underground,Banki / Balgi,Winter,10.8,6.20,0.509,209.1,17.3,142.8,19.2,33.1,27.0,2.55,0.84,0.50,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
