Site,Type,Verified_Tree_Richness,Verified_Tree_Stems,Tree_Carbon_Stock_tC_ha,Summer_NDVI,Monsoon_NDVI,Winter_NDVI,Seasonal_Amplitude,Winter_to_Monsoon_Ratio,In_Plot_Woody_Shrub_Status,Remotely_Characterized_Signal
UG-Q1,UG,5,6,25.23,0.3169,0.5186999999999999,0.5776,0.2018,1.1136,Measured in-plot woody shrub/small tree present,Canopy/Understory Signal: Persistent Woody / Shrub Baseline
UG-Q2,UG,3,4,22.95,0.3819,0.5943,0.5354,0.2124,0.9009,No measured shrub stem >=10cm GBH,Canopy/Understory Signal: Persistent Woody / Shrub Baseline
UG-Q3,UG,4,6,26.71,0.4777,0.55255,0.46465,0.0748,0.8409,Measured in-plot woody shrub/small tree present,Canopy/Understory Signal: Mixed Deciduous Canopy with Understory Turnover
UG-Q4,UG,3,4,24.16,0.4656,0.6267,0.5770500000000001,0.1611,0.9208,No measured shrub stem >=10cm GBH,Canopy/Understory Signal: Persistent Woody / Shrub Baseline
UG-Q5,UG,4,5,23.66,0.26475,0.45694999999999997,0.3988,0.1922,0.8727,Measured in-plot woody shrub/small tree present,Canopy/Understory Signal: Mixed Deciduous Canopy with Understory Turnover
OC-Q1,OC,3,8,16.81,0.4576,0.6377999999999999,0.579,0.1802,0.9078,No measured shrub stem >=10cm GBH,Canopy/Understory Signal: Persistent Woody / Shrub Baseline
OC-Q2,OC,4,4,18.48,0.23854999999999998,0.36645,0.41355,0.1279,1.1285,Measured in-plot woody shrub/small tree present,Canopy/Understory Signal: Persistent Woody / Shrub Baseline
OC-Q3,OC,3,7,15.84,0.1894,0.34740000000000004,0.28745,0.158,0.8274,No measured shrub stem >=10cm GBH,Canopy/Understory Signal: Mixed Deciduous Canopy with Understory Turnover
OC-Q4,OC,3,8,17.67,0.41590000000000005,0.6666,0.6703,0.2507,1.0055,Measured in-plot woody shrub/small tree present,Canopy/Understory Signal: Persistent Woody / Shrub Baseline
OC-Q5,OC,3,6,16.52,0.2137,0.49915,0.46955,0.2854,0.9407,No measured shrub stem >=10cm GBH,Canopy/Understory Signal: High Seasonal Green-Up Flush
