Quadrat,Lat,Lon,Mining,pH,SOC (%),BD (g/cm³),Sand (%),Silt (%),Clay (%),CEC (cmol/kg),Total N (g/kg),Coarse Frag (%)
UG-Q1,22.422136,82.586519,Underground,7.3,1.28,1.59,18.6,33.4,48.0,43.2,1.82,10.8
UG-Q2,22.404199,82.633904,Underground,7.4,1.56,1.66,17.5,33.5,49.0,43.5,1.85,13.2
UG-Q3,22.413226,82.630137,Underground,7.4,1.46,1.61,17.1,36.5,46.4,43.4,2.01,11.6
UG-Q4,22.395806,82.604232,Underground,7.5,1.35,1.61,16.5,36.0,47.5,42.0,1.75,11.1
UG-Q5,22.430608,82.581408,Underground,7.4,1.38,1.6,18.7,30.0,51.3,42.4,1.66,10.0
OC-Q1,22.356579,82.57891,Opencast,7.4,1.41,1.61,17.6,36.6,45.7,42.2,1.45,14.1
OC-Q2,22.358327,82.580214,Opencast,7.4,1.54,1.61,17.6,37.3,45.1,42.6,1.49,13.0
OC-Q3,22.359611,82.582041,Opencast,7.4,1.42,1.62,17.7,38.0,44.3,46.0,1.7,12.6
OC-Q4,22.361084,82.584993,Opencast,7.4,1.5,1.63,18.2,37.2,44.6,45.9,1.74,11.8
OC-Q5,22.36279,82.587521,Opencast,7.4,1.56,1.63,18.4,36.8,44.8,46.0,1.69,12.5
