Quadrat,Mining,Stratum,Species_Name,Family,Growth_Habit,Summer,Monsoon,Winter
UG-Q1,Underground,Shrub,Ziziphus mauritiana Lam.,Rhamnaceae,Thorny shrub / Small tree (Tier 1 stem #4),+ (Drought-tolerant / Stunted),+ (Active leafy growth),+ (Fruiting / Foliated)
UG-Q1,Underground,Shrub,Lantana camara L.,Verbenaceae,Perennial scrambling shrub,+ (Scraggy foliage),+ (Dense vegetative thicket),+ (Flowering & fruiting)
UG-Q1,Underground,Herb,Hyptis suaveolens (L.) Poit.,Lamiaceae,Coarse aromatic annual herb,− (Absent / Dry skeletons),+ (Lush tall growth 1-2m),+ (Late flowering / Drying)
UG-Q1,Underground,Herb,Senna tora (L.) Roxb.,Fabaceae,Annual legume forb,− (Absent / Soil seed bank),+ (Dense ground carpet / Bloom),− (Desiccated / Dry pods)
UG-Q1,Underground,Herb,Cynodon dactylon (L.) Pers.,Poaceae,Perennial stoloniferous grass,+ (Dormant brown turf),+ (Vivid green lawn),+ (Green-brown turf)
UG-Q2,Underground,Shrub,Nyctanthes arbor-tristis L.,Oleaceae,Deciduous understory shrub,+ (Dormant leafy stems),+ (Rough vegetative flush),+ (Sweet-scented flowers)
UG-Q2,Underground,Shrub,Lantana camara L.,Verbenaceae,Perennial scrambling shrub,+ (Drought-tolerant scrub),+ (Lush thicket),+ (Fruiting / Persistent)
UG-Q2,Underground,Herb,Phyllanthus niruri L.,Phyllanthaceae,Small annual understory herb,− (Absent / Dormant),+ (Abundant beneath canopy),− (Yellowing / Senescent)
UG-Q2,Underground,Herb,Evolvulus nummularius (L.) L.,Convolvulaceae,Prostrate creeping herb,+ (Dormant rootstock),+ (Lush creeping carpet),+ (Persistent green patches)
UG-Q2,Underground,Herb,Senna tora (L.) Roxb.,Fabaceae,Annual legume forb,− (Absent / Soil seed bank),+ (Conspicuous monsoonal flush),− (Senescent / Dry)
UG-Q3,Underground,Shrub,Ziziphus mauritiana Lam.,Rhamnaceae,Thorny shrub / Small tree (Tier 1 stem #2),+ (Deep-rooted persistence),+ (Vigorous leafy shoots),+ (Coriaceous leaves / Berries)
UG-Q3,Underground,Shrub,Shorea robusta Gaertn. (saplings),Dipterocarpaceae,Regenerating woody saplings (<10cm GBH),+ (Persistent shaded saplings),+ (Active seedling recruitment),+ (Dense evergreen/semi-evergreen)
UG-Q3,Underground,Herb,Diplazium esculentum (Retz.) Sw.,Athyriaceae,Perennial shade-adapted fern,− (Dormant rhizome in duff),+ (Lush green fronds in hollows),+ (Persistent in moist microsites)
UG-Q3,Underground,Herb,Ageratum conyzoides L.,Asteraceae,Shade-tolerant annual forb,− (Absent under dense canopy),+ (Scattered understory herbs),+ (Cool-season bloom)
UG-Q4,Underground,Shrub,Woodfordia fruticosa (L.) Kurz,Lythraceae,Deciduous erect shrub,+ (Leafless / Flowering),+ (Dense leafy shoots),+ (Profuse red tubular flowers)
UG-Q4,Underground,Shrub,Lantana camara L.,Verbenaceae,Perennial invasive shrub,+ (Stunted foliage),+ (Dense vegetative thicket),+ (Continuous flowering)
UG-Q4,Underground,Herb,Ageratum conyzoides L.,Asteraceae,Annual forb,− (Absent / Dry soil),+ (Abundant in canopy gaps),+ (Flowering / Persistent)
UG-Q4,Underground,Herb,Heteropogon contortus (L.) P.Beauv.,Poaceae,Perennial tussock spear grass,+ (Golden dry tussocks),+ (Rapid vegetative green-up),+ (Black awned seeds / Dry stalks)
UG-Q4,Underground,Herb,Euphorbia hirta L.,Euphorbiaceae,Annual herbaceous forb,− (Absent / Desiccated),+ (Common in open sunlit patches),− (Senescent / Dry)
UG-Q5,Underground,Shrub,Ziziphus mauritiana Lam.,Rhamnaceae,Thorny shrub (scattered understory),+ (Leafless / Xerophytic rest),+ (Thorny vegetative growth),+ (Foliated / Fruiting)
UG-Q5,Underground,Shrub,Woodfordia fruticosa (L.) Kurz,Lythraceae,Deciduous shrub,+ (Flowering / Leafless),+ (Lush leafy shoots),+ (Red flowers / Foliated)
UG-Q5,Underground,Herb,Parthenium hysterophorus L.,Asteraceae,Aggressive annual weed,− (Absent / Dormant seed bank),+ (Explosive weed carpet),− (Senescent brittle stalks)
UG-Q5,Underground,Herb,Senna tora (L.) Roxb.,Fabaceae,Monsoonal annual legume,− (Absent / Seed bank in clay),+ (Dominant yellow-flowering mat),− (Desiccated / Dry pods)
UG-Q5,Underground,Herb,Hyptis suaveolens (L.) Poit.,Lamiaceae,Coarse aromatic annual herb,− (Absent / Dry stalks),+ (Tall dense growth 1-2m),+ (Late flowers / Drying)
OC-Q1,Opencast,Shrub,Calotropis procera (Aiton) W.T.Aiton,Apocynaceae,Xerophytic broadleaf shrub,+ (Glaucous thick leaves / Flowers),+ (Active vegetative growth),+ (Evergreen xerophyte)
OC-Q1,Opencast,Shrub,Lantana camara L.,Verbenaceae,Perennial invasive shrub,+ (Drought-tolerant scrub on spoil),+ (Dense leafy thicket),+ (Persistent flowering)
OC-Q1,Opencast,Herb,Parthenium hysterophorus L.,Asteraceae,Annual ruderal weed,− (Absent on bare overburden),+ (Contiguous weed carpet),− (Complete desiccation)
OC-Q1,Opencast,Herb,Senna tora (L.) Roxb.,Fabaceae,Annual legume forb,− (Absent / Soil seed bank),+ (Lush green carpet between trees),− (Brown dry sickle pods)
OC-Q1,Opencast,Herb,Cynodon dactylon (L.) Pers.,Poaceae,Perennial stoloniferous grass,+ (Dormant brown patches),+ (Vivid green turf),+ (Green-brown turf)
OC-Q2,Opencast,Shrub,Carissa carandas L.,Apocynaceae,Large thorny shrub / Small tree (Tier 1 stem #4),+ (Evergreen coriaceous leaves / Bloom),+ (Fruiting / Lush green canopy),+ (Dense dark-green canopy)
OC-Q2,Opencast,Shrub,Calotropis procera (Aiton) W.T.Aiton,Apocynaceae,Xerophytic broadleaf shrub,+ (Glaucous leaves / Flowers),+ (Active growth),+ (Evergreen xerophyte)
OC-Q2,Opencast,Herb,Diplazium esculentum (Retz.) Sw.,Athyriaceae,Perennial riparian fern,− (Desiccated fronds in dry areas),+ (Lush green fronds near sump),+ (Persistent in sump moisture)
OC-Q2,Opencast,Herb,Evolvulus nummularius (L.) L.,Convolvulaceae,Prostrate creeping herb,+ (Dormant rootstocks),+ (Green creeping mat),+ (Persistent green patches)
