Quadrat_ID,Mining_Type,Quadrat_Centroid_UTM_X,Quadrat_Centroid_UTM_Y,Pixel_Col,Pixel_Row,Pixel_Center_UTM_X,Pixel_Center_UTM_Y,Offset_Delta_X_m,Offset_Delta_Y_m,Distance_to_Pixel_Center_m,Distance_to_Nearest_Boundary_m,Quadrat_Pixel_Overlap_m2,Quadrat_Pixel_Overlap_Pct
UG-Q1,Underground,663287.63,2480415.15,120,143,663285.57,2480412.64,2.06,2.51,3.25,2.49,59.5,59.5
UG-Q2,Underground,668187.12,2478481.4,610,336,668185.57,2478482.64,1.55,-1.24,1.99,3.45,74.0,74.0
UG-Q3,Underground,667788.44,2479476.69,570,237,667785.57,2479472.64,2.87,4.05,4.97,0.95,42.4,42.4
UG-Q4,Underground,665142.15,2477519.2,306,432,665145.57,2477522.64,-3.42,-3.44,4.85,1.56,43.2,43.2
UG-Q5,Underground,662751.63,2481347.64,67,49,662755.57,2481352.64,-3.94,-5.0,6.36,0.0,30.3,30.3
OC-Q1,Opencast,662580.57,2473148.34,50,869,662585.57,2473152.64,-5.0,-4.3,6.59,0.0,28.5,28.5
OC-Q2,Opencast,662712.83,2473343.29,63,850,662715.57,2473342.64,-2.74,0.65,2.81,2.26,67.9,67.9
OC-Q3,Opencast,662899.5,2473487.43,81,836,662895.57,2473482.64,3.93,4.79,6.2,0.21,31.6,31.6
OC-Q4,Opencast,663201.8,2473653.72,112,819,663205.57,2473652.64,-3.77,1.08,3.92,1.23,55.6,55.6
OC-Q5,Opencast,663460.16,2473845.35,137,800,663455.57,2473842.64,4.59,2.71,5.33,0.41,39.4,39.4
