Observation_Level,Operational_Seasonal_Composite,Quadrat_ID,Mining_Type,Acquisition_Date,Acquisition_UTC,Acquisition_IST,Item_ID,Tile_MGRS,Relative_Orbit,Platform,Scene_Cloud_Cover_Pct,Season_IMD,Season_Operational,Spatial_Zone,Zone_Description,Theoretical_Denominator_Pixels,Extracted_Pixels,Valid_Terrestrial_Pixels,Terrestrial_Validity_Pct,SCL_4_Vegetation_Pixels,SCL_5_Soil_Pixels,SCL_2_DarkShadow_Pixels,SCL_7_Unclassified_Pixels,SCL_Other_Pixels,NDVI,EVI,NDRE,SWIR_Ratio
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q1,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.3371,0.2086,0.0808,1.2771
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q1,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2596,0.1661,0.1084,1.2694
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q1,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2408,0.1567,0.1259,1.2536
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q1,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2558,0.1627,0.1332,1.2664
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q2,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4533,0.2674,0.1961,1.3954
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q2,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.348,0.2139,0.183,1.3649
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q2,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2979,0.1873,0.1623,1.3324
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q2,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2732,0.1763,0.1496,1.3043
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q3,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.3941,0.193,0.1977,1.4126
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q3,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2372,0.1357,0.1387,1.3967
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q3,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.1673,0.1064,0.0737,1.3821
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q3,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2089,0.1303,0.0898,1.3712
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q4,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4631,0.3189,0.2905,1.4408
