Metric,Internal_Key,UG_Values,OC_Values,UG_Rank_Sum_R1,OC_Rank_Sum_R2,Mann_Whitney_U1_UG,Mann_Whitney_U2_OC,Mann_Whitney_U_smaller,Exact_p_value,Cliffs_Delta,Pooled_SD,Cohens_d,Hedges_J_Correction,Hedges_g,Hedges_g_SE,Approximate_95_CI_Lower,Approximate_95_CI_Upper,Approximate_95_CI_Hedges_g,Verification_Status
NDVI Pre-monsoon Summer,NDVI_Summer,"[0.3169, 0.3819, 0.4777, 0.4656, 0.2647]","[0.4576, 0.2385, 0.1894, 0.4159, 0.2137]",34.0,21.0,19.0,6.0,6.0,0.2222,0.52,0.10944,0.7158,0.90323,0.647,0.6488,-0.849,2.143,"[-0.849, 2.143]",VERIFIED_EXACT_PERMUTATION
NDVI Monsoon & Retreat Green Season,NDVI_Monsoon,"[0.5187, 0.5943, 0.5525, 0.6267, 0.4569]","[0.6378, 0.3664, 0.3474, 0.6666, 0.4991]",29.0,26.0,14.0,11.0,11.0,0.8413,0.12,0.11473,0.4041,0.90323,0.365,0.6377,-1.106,1.836,"[-1.106, 1.836]",VERIFIED_EXACT_PERMUTATION
NDVI Post-monsoon Winter,NDVI_Winter,"[0.5776, 0.5354, 0.4647, 0.5771, 0.3988]","[0.579, 0.4135, 0.2874, 0.6703, 0.4696]",27.0,28.0,12.0,13.0,12.0,1.0,-0.04,0.11815,0.2262,0.90323,0.204,0.6341,-1.258,1.667,"[-1.258, 1.667]",VERIFIED_EXACT_PERMUTATION
EVI Pre-monsoon Summer,EVI_Summer,"[0.1933, 0.222, 0.2597, 0.3062, 0.1489]","[0.2027, 0.1323, 0.1082, 0.2202, 0.1134]",36.0,19.0,21.0,4.0,4.0,0.0952,0.68,0.05653,1.2499,0.90323,1.129,0.681,-0.441,2.699,"[-0.441, 2.699]",VERIFIED_EXACT_PERMUTATION
EVI Monsoon & Retreat Green Season,EVI_Monsoon,"[0.3765, 0.3839, 0.291, 0.4246, 0.3199]","[0.3163, 0.234, 0.2379, 0.4088, 0.3489]",33.0,22.0,18.0,7.0,7.0,0.3095,0.44,0.06487,0.7705,0.90323,0.696,0.6513,-0.806,2.198,"[-0.806, 2.198]",VERIFIED_EXACT_PERMUTATION
EVI Post-monsoon Winter,EVI_Winter,"[0.3496, 0.2601, 0.1794, 0.3397, 0.2372]","[0.2623, 0.2505, 0.1845, 0.3885, 0.2627]",26.0,29.0,11.0,14.0,11.0,0.8413,-0.12,0.07275,0.0477,0.90323,0.043,0.6325,-1.416,1.502,"[-1.416, 1.502]",VERIFIED_EXACT_PERMUTATION
NDRE Pre-monsoon Summer,NDRE_Summer,"[0.0699, 0.1741, 0.261, 0.2776, 0.1301]","[0.252, 0.1632, 0.0805, 0.2205, 0.0862]",30.0,25.0,15.0,10.0,10.0,0.6905,0.2,0.0826,0.2671,0.90323,0.241,0.6348,-1.223,1.705,"[-1.223, 1.705]",VERIFIED_EXACT_PERMUTATION
NDRE Monsoon & Retreat Green Season,NDRE_Monsoon,"[0.2286, 0.3486, 0.2502, 0.3774, 0.2833]","[0.3796, 0.2666, 0.1479, 0.4153, 0.2678]",26.0,29.0,11.0,14.0,11.0,0.8413,-0.12,0.08731,0.0249,0.90323,0.022,0.6325,-1.436,1.481,"[-1.436, 1.481]",VERIFIED_EXACT_PERMUTATION
NDRE Post-monsoon Winter,NDRE_Winter,"[0.2656, 0.1842, 0.1103, 0.3742, 0.3106]","[0.3752, 0.3141, 0.1064, 0.4274, 0.2577]",24.0,31.0,9.0,16.0,9.0,0.5476,-0.28,0.11428,-0.4126,0.90323,-0.373,0.6379,-1.844,1.098,"[-1.844, 1.098]",VERIFIED_EXACT_PERMUTATION
SWIR Ratio Pre-monsoon Summer,SWIR_Ratio_Summer,"[1.2485, 1.341, 1.3779, 1.4045, 1.2024]","[1.4385, 1.1772, 1.196, 1.372, 1.2845]",30.0,25.0,15.0,10.0,10.0,0.6905,0.2,0.10001,0.2121,0.90323,0.192,0.6339,-1.27,1.653,"[-1.270, 1.653]",VERIFIED_EXACT_PERMUTATION
SWIR Ratio Monsoon & Retreat Green Season,SWIR_Ratio_Monsoon,"[1.4258, 1.6165, 1.5097, 1.5966, 1.4498]","[1.751, 1.2491, 1.2734, 1.7849, 1.5571]",27.0,28.0,12.0,13.0,12.0,1.0,-0.04,0.18978,-0.018,0.90323,-0.016,0.6325,-1.475,1.442,"[-1.475, 1.442]",VERIFIED_EXACT_PERMUTATION
SWIR Ratio Post-monsoon Winter,SWIR_Ratio_Winter,"[1.4701, 1.6059, 1.5824, 1.6358, 1.5299]","[2.0097, 1.3423, 1.172, 2.0364, 1.5978]",27.0,28.0,12.0,13.0,12.0,1.0,-0.04,0.27842,-0.2399,0.90323,-0.217,0.6343,-1.679,1.246,"[-1.679, 1.246]",VERIFIED_EXACT_PERMUTATION
Seasonal NDVI Amplitude (Green Season − Summer),Seasonal_NDVI_Amplitude,"[0.2018, 0.2124, 0.0748, 0.1611, 0.1922]","[0.1802, 0.1279, 0.158, 0.2507, 0.2854]",26.0,29.0,11.0,14.0,11.0,0.8413,-0.12,0.06088,-0.5253,0.90323,-0.474,0.6413,-1.953,1.004,"[-1.953, 1.004]",VERIFIED_EXACT_PERMUTATION
Winter-to-Green-Season Persistence Ratio,Winter_to_Monsoon_Ratio,"[1.1136, 0.9009, 0.8409, 0.9208, 0.8727]","[0.9078, 1.1285, 0.8274, 1.0055, 0.9407]",24.0,31.0,9.0,16.0,9.0,0.5476,-0.28,0.11011,-0.2924,0.90323,-0.264,0.6352,-1.729,1.201,"[-1.729, 1.201]",VERIFIED_EXACT_PERMUTATION
Summer-to-Green-Season Retention Ratio,Summer_to_Monsoon_Ratio,"[0.6109, 0.6426, 0.8645, 0.7429, 0.5794]","[0.7175, 0.651, 0.5452, 0.6239, 0.4281]",32.0,23.0,17.0,8.0,8.0,0.4206,0.36,0.11361,0.8355,0.90323,0.755,0.6546,-0.755,2.264,"[-0.755, 2.264]",VERIFIED_EXACT_PERMUTATION
