Field_Variable,Remote_Sensing_Metric,Pearson_r,Pearson_p,Fisher_z_95_CI,Spearman_rs,Spearman_p,Inference_Caution
Overstory Tree Carbon Stock (t C ha⁻¹),Pre-monsoon Summer NDVI (Zone A),0.4429,0.1999,"[-0.259, 0.839]",0.6121,0.06,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Overstory Tree Carbon Stock (t C ha⁻¹),Monsoon & Retreat Green Season NDVI (Zone A),0.2182,0.5447,"[-0.477, 0.745]",0.1879,0.6032,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Overstory Tree Carbon Stock (t C ha⁻¹),Post-monsoon Winter NDVI (Zone A),0.1724,0.6339,"[-0.513, 0.723]",0.103,0.777,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Overstory Tree Carbon Stock (t C ha⁻¹),Seasonal NDVI Amplitude (Zone A),-0.4183,0.229,"[-0.829, 0.287]",-0.2848,0.425,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Overstory Tree Carbon Stock (t C ha⁻¹),Winter-to-Green-Season Persistence Ratio (Zone A),-0.0298,0.9349,"[-0.647, 0.611]",0.0424,0.9074,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Aboveground Tree Biomass (t ha⁻¹),Pre-monsoon Summer NDVI (Zone A),0.4435,0.1992,"[-0.258, 0.839]",0.6121,0.06,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Aboveground Tree Biomass (t ha⁻¹),Monsoon & Retreat Green Season NDVI (Zone A),0.2189,0.5434,"[-0.476, 0.746]",0.1879,0.6032,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Aboveground Tree Biomass (t ha⁻¹),Post-monsoon Winter NDVI (Zone A),0.1729,0.6328,"[-0.512, 0.724]",0.103,0.777,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Aboveground Tree Biomass (t ha⁻¹),Seasonal NDVI Amplitude (Zone A),-0.4181,0.2292,"[-0.829, 0.287]",-0.2848,0.425,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Aboveground Tree Biomass (t ha⁻¹),Winter-to-Green-Season Persistence Ratio (Zone A),-0.03,0.9344,"[-0.647, 0.611]",0.0424,0.9074,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Overstory Tree Stems (count),Pre-monsoon Summer NDVI (Zone A),0.1187,0.7439,"[-0.552, 0.696]",0.0249,0.9455,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Overstory Tree Stems (count),Monsoon & Retreat Green Season NDVI (Zone A),0.2443,0.4964,"[-0.455, 0.757]",0.2743,0.4432,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Overstory Tree Stems (count),Post-monsoon Winter NDVI (Zone A),0.2108,0.5589,"[-0.483, 0.742]",0.349,0.3229,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Overstory Tree Stems (count),Seasonal NDVI Amplitude (Zone A),0.2322,0.5185,"[-0.465, 0.752]",0.1808,0.6173,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Overstory Tree Stems (count),Winter-to-Green-Season Persistence Ratio (Zone A),-0.155,0.6689,"[-0.715, 0.526]",-0.1371,0.7056,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Tree Species Richness,Pre-monsoon Summer NDVI (Zone A),-0.136,0.7079,"[-0.705, 0.54]",-0.0139,0.9697,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Tree Species Richness,Monsoon & Retreat Green Season NDVI (Zone A),-0.3117,0.3807,"[-0.787, 0.396]",-0.3884,0.2674,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Tree Species Richness,Post-monsoon Winter NDVI (Zone A),-0.0762,0.8342,"[-0.674, 0.581]",-0.2427,0.4992,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Tree Species Richness,Seasonal NDVI Amplitude (Zone A),-0.3251,0.3594,"[-0.792, 0.383]",-0.3329,0.3473,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
Verified Tree Species Richness,Winter-to-Green-Season Persistence Ratio (Zone A),0.5078,0.1341,"[-0.179, 0.862]",0.2219,0.5377,Exploratory pilot correlation (n=10 quadrats); hypothesis-generating only.
