Summer_NDVI_Threshold,Persistence_Ratio_Threshold,Seasonal_Amplitude_Threshold,Persistent_Greenness_Count,Seasonal_Flush_Count,Disturbed_Transition_Count,Reclassified_Quadrats_Count,Reclassified_Quadrats_Detail
0.25,0.85,0.2,6,1,3,1,UG-Q5 (Disturbed Transition -> Persistent Greenness)
0.25,0.85,0.25,6,1,3,1,UG-Q5 (Disturbed Transition -> Persistent Greenness)
0.25,0.85,0.28,6,1,3,1,UG-Q5 (Disturbed Transition -> Persistent Greenness)
0.25,0.88,0.2,5,1,4,0,None (Exact baseline match)
0.25,0.88,0.25,5,1,4,0,None (Exact baseline match)
0.25,0.88,0.28,5,1,4,0,None (Exact baseline match)
0.25,0.9,0.2,5,1,4,0,None (Exact baseline match)
0.25,0.9,0.25,5,1,4,0,None (Exact baseline match)
0.25,0.9,0.28,5,1,4,0,None (Exact baseline match)
0.25,0.92,0.2,3,1,6,2,OC-Q1 (Persistent Greenness -> Disturbed Transition); UG-Q2 (Persistent Greenness -> Disturbed Transition)
0.25,0.92,0.25,3,1,6,2,OC-Q1 (Persistent Greenness -> Disturbed Transition); UG-Q2 (Persistent Greenness -> Disturbed Transition)
0.25,0.92,0.28,3,1,6,2,OC-Q1 (Persistent Greenness -> Disturbed Transition); UG-Q2 (Persistent Greenness -> Disturbed Transition)
0.25,0.95,0.2,2,1,7,3,OC-Q1 (Persistent Greenness -> Disturbed Transition); UG-Q2 (Persistent Greenness -> Disturbed Transition); UG-Q4 (Persistent Greenness -> Disturbed Transition)
0.25,0.95,0.25,2,1,7,3,OC-Q1 (Persistent Greenness -> Disturbed Transition); UG-Q2 (Persistent Greenness -> Disturbed Transition); UG-Q4 (Persistent Greenness -> Disturbed Transition)
0.25,0.95,0.28,2,1,7,3,OC-Q1 (Persistent Greenness -> Disturbed Transition); UG-Q2 (Persistent Greenness -> Disturbed Transition); UG-Q4 (Persistent Greenness -> Disturbed Transition)
0.28,0.85,0.2,5,1,4,0,None (Exact baseline match)
0.28,0.85,0.25,5,1,4,0,None (Exact baseline match)
0.28,0.85,0.28,5,1,4,0,None (Exact baseline match)
0.28,0.88,0.2,5,1,4,0,None (Exact baseline match)
0.28,0.88,0.25,5,1,4,0,None (Exact baseline match)
0.28,0.88,0.28,5,1,4,0,None (Exact baseline match)
0.28,0.9,0.2,5,1,4,0,None (Exact baseline match)
0.28,0.9,0.25,5,1,4,0,None (Exact baseline match)
0.28,0.9,0.28,5,1,4,0,None (Exact baseline match)
0.28,0.92,0.2,3,1,6,2,OC-Q1 (Persistent Greenness -> Disturbed Transition); UG-Q2 (Persistent Greenness -> Disturbed Transition)
