S_No,Scientific_name,Family,Stratum,Mining_area,Summer_Status,Monsoon_Status,Winter_Status
1,Lantana camara,Verbenaceae,Shrub,OC and UG,Present (Drought-tolerant scrub),Present (Dense vigorous thickets),Present (Continuous flowering/fruiting)
2,Woodfordia fruticosa,Lythraceae,Shrub,OC and UG,Present (Leafless / Late bloom),Present (Lush leafy shoots),Present (Profuse scarlet flowers)
3,Calotropis procera,Apocynaceae,Shrub,OC,Present (Glaucous thick leaves),Present (Active vegetative growth),Present (Evergreen xerophyte)
4,Nyctanthes arbor-tristis,Oleaceae,Shrub,OC and UG,Present (Dormant stems),Present (Rough opposite leaves),Present (Sweet scented flowers)
5,Nerium oleander,Apocynaceae,Shrub,OC,Present (Foliated),Present (Lush growth),Present (Persistent foliage)
6,Parthenium hysterophorus,Asteraceae,Herb,OC and UG,Absent (Dormant seed bank),Present (Peak dominant carpet),Senescent (Dry seed stalks)
7,Senna tora,Fabaceae,Herb,OC and UG,Absent (Dormant seed bank),Present (Monospecific flush / Bloom),Senescent (Dry sickle pods)
8,Hyptis suaveolens,Lamiaceae,Herb,OC and UG,Absent (Dry skeletons),Present (Tall dense growth 1-2m),Present (Flowering / Drying)
9,Chromolaena odorata,Asteraceae,Herb,OC and UG,Present (Dry foliage),Present (Rapid leafy flush),Present (White/Lilac flowers)
10,Ageratum conyzoides,Asteraceae,Herb,OC and UG,Absent (Restricted to sumps),Present (Abundant ground cover),Present (Cool season bloom)
11,Euphorbia hirta,Euphorbiaceae,Herb,OC and UG,Absent (Desiccated),Present (Common on bare spoil),Senescent (Dry capsules)
12,Phyllanthus niruri,Phyllanthaceae,Herb,OC and UG,Absent (Dormant),Present (Abundant understory herb),Senescent (Yellowing / Dying)
13,Evolvulus nummularius,Convolvulaceae,Herb,OC and UG,Present (Dry rootstock),Present (Lush creeping carpet),Present (Persistent green patches)
14,Cynodon dactylon,Poaceae,Herb,OC and UG,Present (Dormant brown turf),Present (Vivid green lawn),Present (Green-brown turf)
15,Heteropogon contortus,Poaceae,Herb,OC and UG,Present (Dry golden tussocks),Present (Rapid vegetative growth),Present (Black awned spear grass)
16,Diplazium esculentum,Athyriaceae,Herb,OC,Absent (Desiccated fronds),Present (Lush green fronds),Present (Moist sump margins)
17,Acalypha indica,Euphorbiaceae,Herb,OC and UG,Absent (Dormant),Present (Active vegetative flush),Senescent (Dying back)
